# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 4.053066e-05 3.025907e-12 4.053066e-05 1
3.250000 1.527324e-04 1.811333e-12 1.527324e-04 29
3.750000 1.649523e-04 2.591142e-12 1.649523e-04 568
4.250000 1.917182e-04 3.047436e-12 1.917182e-04 868
4.750000 2.096037e-04 3.223842e-12 2.096037e-04 899
5.250000 2.225177e-04 3.442053e-12 2.225177e-04 938
5.750000 2.236072e-04 3.378280e-12 2.236072e-04 866
6.250000 2.279579e-04 3.334426e-12 2.279579e-04 903
6.750000 2.265563e-04 3.218817e-12 2.265563e-04 849
7.250000 2.314503e-04 3.234172e-12 2.314503e-04 949
7.750000 2.258909e-04 3.703789e-12 2.258909e-04 916
8.250000 2.278275e-04 3.741134e-12 2.278275e-04 919
8.750000 2.271962e-04 3.693384e-12 2.271962e-04 946
9.250000 2.331753e-04 3.780986e-12 2.331753e-04 870
9.750000 2.223164e-04 3.609138e-12 2.223164e-04 902
10.250000 2.096178e-04 3.518523e-12 2.096178e-04 905
10.750000 1.935496e-04 3.342080e-12 1.935496e-04 887
11.250000 1.619030e-04 2.978414e-12 1.619030e-04 576
11.750000 1.368629e-04 2.312591e-12 1.368629e-04 33
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
