# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.441944e-04 1.475062e-04 2.053410e-04 51
3.750000 1.663361e-04 2.275374e-04 2.791954e-04 538
4.250000 1.929999e-04 2.603500e-04 3.226075e-04 858
4.750000 2.203864e-04 2.720608e-04 3.536204e-04 942
5.250000 2.192181e-04 2.782486e-04 3.567103e-04 881
5.750000 2.230989e-04 2.714777e-04 3.576399e-04 910
6.250000 2.296888e-04 2.695582e-04 3.587307e-04 924
6.750000 2.362290e-04 2.835047e-04 3.642059e-04 869
7.250000 2.348082e-04 2.785282e-04 3.650938e-04 864
7.750000 2.348683e-04 2.866991e-04 3.719674e-04 899
8.250000 2.249093e-04 2.685225e-04 3.570059e-04 946
8.750000 2.246193e-04 2.639494e-04 3.465341e-04 853
9.250000 2.219664e-04 2.830392e-04 3.484749e-04 926
9.750000 2.278089e-04 2.835457e-04 3.656175e-04 894
10.250000 2.191432e-04 2.854318e-04 3.625311e-04 888
10.750000 1.969756e-04 2.836945e-04 3.489825e-04 920
11.250000 1.766773e-04 2.404681e-04 2.950767e-04 609
11.750000 1.475979e-04 1.455364e-04 2.173232e-04 50
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 4.229779e-09 8.196962e-05 8.197159e-05 2
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
