# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     -2.877997e-08 8.349598e-15 -5.937649e-08     -2.877991e-08 0.000000e+00 -5.937650e-08     -6.449171e-14 8.349598e-15 5.242994e-15
1.596051     1.600183e-07 -4.003856e-15 6.241299e-08     1.600183e-07 0.000000e+00 6.241300e-08     3.319554e-14 -4.003856e-15 -8.686570e-15
2.660086     -1.484993e-06 -1.544127e-14 4.836233e-07     -1.484994e-06 0.000000e+00 4.836233e-07     1.466274e-13 -1.544127e-14 1.646376e-14
3.724120     3.148487e-06 7.910684e-15 4.619343e-06     3.148487e-06 0.000000e+00 4.619343e-06     -1.504720e-13 7.910684e-15 9.395855e-14
4.788154     5.784953e-06 -4.153819e-14 -5.090983e-07     5.784953e-06 0.000000e+00 -5.090984e-07     4.317749e-14 -4.153819e-14 1.258417e-13
5.852189     -1.067748e-05 -3.240252e-13 2.546703e-06     -1.067748e-05 0.000000e+00 2.546703e-06     -4.756792e-14 -3.240252e-13 -2.463855e-13
6.916223     -5.321435e-06 -6.312697e-14 2.111226e-06     -5.321435e-06 0.000000e+00 2.111226e-06     -1.376233e-13 -6.312697e-14 6.265575e-14
7.980257     1.903910e-05 2.797916e-13 7.040226e-06     1.903910e-05 0.000000e+00 7.040226e-06     1.302455e-13 2.797916e-13 1.195282e-13
9.044291     -4.379139e-06 -6.627465e-14 -1.589642e-06     -4.379139e-06 0.000000e+00 -1.589642e-06     -1.126349e-14 -6.627465e-14 1.686240e-13
10.108326     -8.565255e-06 -1.170190e-13 -8.414080e-06     -8.565255e-06 0.000000e+00 -8.414080e-06     -4.616964e-14 -1.170190e-13 1.201393e-13
11.172360     5.060912e-06 7.546639e-14 1.323580e-06     5.060911e-06 0.000000e+00 1.323580e-06     1.237391e-13 7.546639e-14 -3.109496e-14
12.236394     3.550607e-07 1.274804e-14 -6.921511e-08     3.550608e-07 0.000000e+00 -6.921511e-08     -8.739045e-14 1.274804e-14 5.080445e-15
13.300429     -2.418780e-07 4.621289e-15 1.825647e-08     -2.418779e-07 0.000000e+00 1.825649e-08     -5.247611e-14 4.621289e-15 -1.233891e-14
14.364463     -2.544421e-08 -1.197735e-14 2.580361e-09     -2.544430e-08 0.000000e+00 2.580349e-09     8.870312e-14 -1.197735e-14 1.242252e-14
