# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.373227e-06    1.259048e-06 5.471538e-07 1.174395e-15
1.596051 5.742042e-06    5.015668e-06 2.799429e-06 -2.268492e-14
2.660086 8.276462e-05    8.217782e-05 9.785064e-06 1.039887e-12
3.724120 2.643949e-04    1.656055e-04 2.059802e-04 5.164021e-11
4.788154 3.435345e-04    2.178072e-04 2.655532e-04 5.747036e-11
5.852189 3.505198e-04    2.277069e-04 2.663528e-04 6.990653e-11
6.916223 3.473226e-04    2.282392e-04 2.616785e-04 6.423528e-11
7.980257 3.517361e-04    2.290450e-04 2.677537e-04 -4.353874e-10
9.044291 3.492850e-04    2.286440e-04 2.638124e-04 1.249528e-10
10.108326 3.423811e-04    2.183751e-04 2.635150e-04 9.696064e-11
11.172360 2.611332e-04    1.660362e-04 2.015177e-04 1.315006e-11
12.236394 8.261559e-05    8.189110e-05 1.092102e-05 -8.410170e-14
13.300429 5.252790e-06    4.381813e-06 2.891273e-06 3.206292e-14
14.364463 4.693720e-06    2.949293e-06 3.652047e-06 -4.766498e-15
