# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     -3.897561e-08 -7.640250e-09 -6.434019e-08     -2.877991e-08 0.000000e+00 -5.937650e-08     -1.019570e-08 -7.640250e-09 -4.963686e-09
1.596051     1.217966e-07 1.004280e-07 -2.149190e-08     1.600183e-07 0.000000e+00 6.241300e-08     -3.822163e-08 1.004280e-07 -8.390489e-08
2.660086     -1.729311e-06 6.052268e-08 8.096788e-07     -1.484994e-06 0.000000e+00 4.836233e-07     -2.443179e-07 6.052268e-08 3.260555e-07
3.724120     3.492511e-06 6.081175e-06 9.978550e-06     3.148487e-06 0.000000e+00 4.619343e-06     3.440230e-07 6.081175e-06 5.359207e-06
4.788154     1.124341e-05 -2.445220e-08 5.012157e-06     5.784953e-06 0.000000e+00 -5.090984e-07     5.458461e-06 -2.445220e-08 5.521255e-06
5.852189     -1.582400e-05 1.102745e-05 -5.296834e-06     -1.067748e-05 0.000000e+00 2.546703e-06     -5.146518e-06 1.102745e-05 -7.843537e-06
6.916223     -1.345048e-05 2.121034e-06 -3.152617e-06     -5.321435e-06 0.000000e+00 2.111226e-06     -8.129043e-06 2.121034e-06 -5.263844e-06
7.980257     9.298094e-06 2.871570e-06 2.430485e-06     1.903910e-05 0.000000e+00 7.040226e-06     -9.741001e-06 2.871570e-06 -4.609741e-06
9.044291     -1.658514e-05 6.874514e-06 -7.304725e-06     -4.379139e-06 0.000000e+00 -1.589642e-06     -1.220600e-05 6.874514e-06 -5.715083e-06
10.108326     -7.053534e-06 -3.828207e-06 -1.571844e-05     -8.565255e-06 0.000000e+00 -8.414080e-06     1.511721e-06 -3.828207e-06 -7.304356e-06
11.172360     6.394260e-06 2.196552e-06 1.194101e-06     5.060911e-06 0.000000e+00 1.323580e-06     1.333348e-06 2.196552e-06 -1.294784e-07
12.236394     2.826925e-07 3.258550e-08 1.680643e-07     3.550608e-07 0.000000e+00 -6.921511e-08     -7.236832e-08 3.258550e-08 2.372794e-07
13.300429     -3.125376e-07 -3.417153e-08 -3.908277e-08     -2.418779e-07 0.000000e+00 1.825649e-08     -7.065973e-08 -3.417153e-08 -5.733926e-08
14.364463     7.765196e-08 -1.563189e-07 9.480544e-08     -2.544430e-08 0.000000e+00 2.580349e-09     1.030963e-07 -1.563189e-07 9.222509e-08
