# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 4.630127e-06 4.630127e-06 1.646720e-12 6
0.750000 3.004987e-08 3.004873e-08 2.388233e-12 7
1.250000 7.143898e-08 7.143951e-08 1.484430e-12 5
1.750000 1.973504e-06 1.973504e-06 1.094656e-12 8
2.250000 4.290269e-05 4.290269e-05 1.921175e-12 9
2.750000 8.750920e-05 8.750920e-05 1.983879e-12 8
3.250000 1.464722e-04 1.464722e-04 2.254665e-12 1795
3.750000 1.696133e-04 1.696133e-04 2.818048e-12 26485
4.250000 1.928667e-04 1.928667e-04 3.197712e-12 42240
4.750000 2.162165e-04 2.162165e-04 3.303248e-12 42652
5.250000 2.259998e-04 2.259998e-04 3.352423e-12 42312
5.750000 2.272135e-04 2.272135e-04 3.382283e-12 42587
6.250000 2.268652e-04 2.268652e-04 3.433914e-12 42180
6.750000 2.278152e-04 2.278152e-04 3.493319e-12 42437
7.250000 2.283475e-04 2.283475e-04 3.477489e-12 42516
7.750000 2.279430e-04 2.279430e-04 3.479343e-12 42330
8.250000 2.279507e-04 2.279507e-04 3.483293e-12 42377
8.750000 2.275149e-04 2.275149e-04 3.435904e-12 42347
9.250000 2.278877e-04 2.278877e-04 3.386091e-12 42549
9.750000 2.278675e-04 2.278675e-04 3.346743e-12 42488
10.250000 2.173598e-04 2.173598e-04 3.259642e-12 42273
10.750000 1.928305e-04 1.928305e-04 3.155797e-12 42291
11.250000 1.694189e-04 1.694189e-04 2.824281e-12 25961
11.750000 1.448860e-04 1.448860e-04 2.237975e-12 1827
12.250000 1.245664e-04 1.245664e-04 1.589636e-12 3
12.750000 5.308467e-05 5.308467e-05 2.700526e-12 5
13.250000 4.102063e-06 4.102063e-06 2.054419e-12 11
13.750000 3.736158e-12 1.636068e-12 2.885798e-12 4
14.250000 4.047059e-06 4.047059e-06 1.555388e-12 8
14.750000 2.467022e-07 2.467025e-07 1.561671e-12 7
