# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 8.686180e-08 8.686180e-08 1
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 6.277345e-11 2.419763e-07 2.419850e-07 1
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.211630e-04 1.337146e-04 1.769672e-04 29
3.750000 1.463253e-04 2.197303e-04 2.685626e-04 572
4.250000 1.691539e-04 2.623832e-04 3.125013e-04 937
4.750000 1.847050e-04 2.661305e-04 3.254978e-04 898
5.250000 1.918789e-04 2.605274e-04 3.315497e-04 934
5.750000 2.000644e-04 2.715426e-04 3.338319e-04 894
6.250000 1.970745e-04 2.819977e-04 3.419333e-04 913
6.750000 1.960456e-04 2.696294e-04 3.355070e-04 894
7.250000 1.965950e-04 2.671155e-04 3.304110e-04 921
7.750000 1.959309e-04 2.726487e-04 3.280972e-04 843
8.250000 2.030180e-04 2.697088e-04 3.394161e-04 913
8.750000 1.937537e-04 2.707631e-04 3.319588e-04 898
9.250000 1.994240e-04 2.551625e-04 3.248719e-04 891
9.750000 2.011433e-04 2.536816e-04 3.208154e-04 909
10.250000 1.879273e-04 2.767015e-04 3.403231e-04 908
10.750000 1.658005e-04 2.665344e-04 3.187641e-04 887
11.250000 1.472366e-04 2.100149e-04 2.562338e-04 545
11.750000 1.233143e-04 1.404159e-04 1.977009e-04 34
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 2.000381e-05 6.107610e-07 2.033064e-05 1
13.250000 2.804796e-07 2.626535e-07 3.110642e-07 1
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
