# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -2.485631e-07     -2.485631e-07 0.000000e+00  -3.455293e-08 0.000000e+00  2.842097e-08 0.000000e+00
0.770508 1.514083e-07     1.514083e-07 0.000000e+00  -6.286144e-08 0.000000e+00  -2.264769e-08 0.000000e+00
1.284179 -1.043239e-07     -1.043239e-07 0.000000e+00  1.702151e-07 0.000000e+00  -1.081924e-07 0.000000e+00
1.797851 2.086018e-07     2.086018e-07 0.000000e+00  -2.872320e-08 0.000000e+00  7.879467e-08 0.000000e+00
2.311523 -3.036659e-06     -3.036659e-06 0.000000e+00  2.481309e-07 0.000000e+00  -9.835024e-07 0.000000e+00
2.825194 -5.147173e-07     -5.147173e-07 0.000000e+00  4.835844e-07 0.000000e+00  -1.442301e-06 0.000000e+00
3.338866 -3.083552e-06     -3.083552e-06 0.000000e+00  1.994767e-06 0.000000e+00  -1.465667e-06 0.000000e+00
3.852538 4.415796e-06     4.415796e-06 0.000000e+00  4.619439e-06 0.000000e+00  5.672097e-07 0.000000e+00
4.366210 3.642807e-06     3.642807e-06 0.000000e+00  1.242130e-07 0.000000e+00  3.407548e-06 0.000000e+00
4.879881 5.362580e-06     5.362580e-06 0.000000e+00  -6.905977e-07 0.000000e+00  5.099253e-06 0.000000e+00
5.393553 3.275127e-06     3.275127e-06 0.000000e+00  7.577749e-06 0.000000e+00  -2.671114e-06 0.000000e+00
5.907225 -1.032948e-05     -1.032948e-05 0.000000e+00  1.330630e-06 0.000000e+00  -2.192075e-06 0.000000e+00
6.420896 -1.516952e-06     -1.516952e-06 0.000000e+00  -1.259438e-06 0.000000e+00  -5.476140e-06 0.000000e+00
6.934568 -4.280991e-06     -4.280991e-06 0.000000e+00  2.239894e-06 0.000000e+00  -2.415104e-06 0.000000e+00
7.448240 2.377097e-06     2.377097e-06 0.000000e+00  3.587019e-06 0.000000e+00  -2.448230e-06 0.000000e+00
7.961912 1.719619e-05     1.719619e-05 0.000000e+00  5.867360e-06 0.000000e+00  -4.287178e-06 0.000000e+00
8.475583 -9.243969e-06     -9.243969e-06 0.000000e+00  1.366541e-06 0.000000e+00  -5.656371e-06 0.000000e+00
8.989255 -3.749165e-06     -3.749165e-06 0.000000e+00  -1.376621e-06 0.000000e+00  -4.078005e-06 0.000000e+00
9.502927 -1.508839e-06     -1.508839e-06 0.000000e+00  -2.447107e-06 0.000000e+00  5.608041e-07 0.000000e+00
10.016598 -9.976530e-06     -9.976530e-06 0.000000e+00  -8.225993e-06 0.000000e+00  4.358034e-06 0.000000e+00
10.530270 4.307754e-06     4.307754e-06 0.000000e+00  -2.277593e-06 0.000000e+00  1.549598e-07 0.000000e+00
11.043942 5.918748e-06     5.918748e-06 0.000000e+00  6.938777e-07 0.000000e+00  1.098284e-06 0.000000e+00
11.557613 -4.451560e-08     -4.451560e-08 0.000000e+00  2.272911e-06 0.000000e+00  3.142994e-06 0.000000e+00
12.071285 -9.246896e-08     -9.246896e-08 0.000000e+00  1.088650e-07 0.000000e+00  2.394539e-06 0.000000e+00
12.584957 1.006562e-06     1.006562e-06 0.000000e+00  -2.759627e-07 0.000000e+00  -3.466003e-07 0.000000e+00
13.098629 -6.849112e-07     -6.849112e-07 0.000000e+00  -5.204080e-08 0.000000e+00  7.285478e-08 0.000000e+00
13.612300 5.450730e-07     5.450730e-07 0.000000e+00  1.183989e-07 0.000000e+00  -9.718205e-08 0.000000e+00
14.125972 -3.458336e-07     -3.458336e-07 0.000000e+00  1.873702e-08 0.000000e+00  -1.062245e-08 0.000000e+00
14.639644 3.537270e-07     3.537270e-07 0.000000e+00  -2.133586e-08 0.000000e+00  -6.410679e-08 0.000000e+00
