# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 4.702774e-06 4.630127e-06 1.006570e-07 6
0.750000 9.846849e-07 3.004873e-08 9.849675e-07 7
1.250000 1.406116e-07 7.143951e-08 1.004159e-07 5
1.750000 1.905361e-06 1.973504e-06 4.247829e-07 8
2.250000 3.872196e-05 3.932290e-05 2.026393e-06 9
2.750000 8.180300e-05 8.127071e-05 1.545226e-05 8
3.250000 1.783413e-04 1.233355e-04 1.295184e-04 1795
3.750000 2.584830e-04 1.430260e-04 2.142360e-04 26485
4.250000 3.061421e-04 1.628822e-04 2.589632e-04 42240
4.750000 3.217372e-04 1.825857e-04 2.650877e-04 42652
5.250000 3.268566e-04 1.911268e-04 2.642501e-04 42312
5.750000 3.270075e-04 1.922612e-04 2.654704e-04 42587
6.250000 3.285271e-04 1.918801e-04 2.662732e-04 42180
6.750000 3.260093e-04 1.923260e-04 2.630397e-04 42437
7.250000 3.271555e-04 1.927254e-04 2.643631e-04 42516
7.750000 3.306724e-04 1.928670e-04 2.687486e-04 42330
8.250000 3.301083e-04 1.930760e-04 2.667647e-04 42377
8.750000 3.286274e-04 1.922189e-04 2.658755e-04 42347
9.250000 3.273192e-04 1.925724e-04 2.648635e-04 42549
9.750000 3.272398e-04 1.927909e-04 2.646023e-04 42488
10.250000 3.217395e-04 1.837179e-04 2.633606e-04 42273
10.750000 3.070206e-04 1.628014e-04 2.589826e-04 42291
11.250000 2.591388e-04 1.433623e-04 2.156679e-04 25961
11.750000 1.771161e-04 1.221129e-04 1.290721e-04 1827
12.250000 9.469593e-05 8.878991e-05 1.778080e-05 3
12.750000 3.615152e-05 4.025090e-05 6.782703e-06 5
13.250000 4.123668e-06 4.102063e-06 1.438909e-07 11
13.750000 7.378706e-08 1.636068e-12 7.378711e-08 4
14.250000 4.118884e-06 4.047059e-06 1.017572e-07 8
14.750000 2.200899e-07 2.467025e-07 5.795196e-08 7
