# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 5.541887e-06 4.630127e-06 1.962314e-06 6
0.750000 1.993129e-06 3.004873e-08 1.984755e-06 7
1.250000 2.324095e-06 7.143951e-08 2.330234e-06 5
1.750000 3.311055e-06 1.973504e-06 2.241877e-06 8
2.250000 3.962407e-05 3.932290e-05 2.252456e-06 9
2.750000 8.091720e-05 8.127071e-05 6.120290e-06 8
3.250000 1.348190e-04 1.233355e-04 5.311601e-05 1795
3.750000 1.702606e-04 1.430260e-04 9.094610e-05 26485
4.250000 1.968955e-04 1.628827e-04 1.102377e-04 42240
4.750000 2.147625e-04 1.825856e-04 1.129612e-04 42652
5.250000 2.210620e-04 1.911273e-04 1.118999e-04 42312
5.750000 2.219328e-04 1.922613e-04 1.124084e-04 42587
6.250000 2.232996e-04 1.918799e-04 1.129923e-04 42180
6.750000 2.227861e-04 1.923262e-04 1.126799e-04 42437
7.250000 2.232185e-04 1.927257e-04 1.125933e-04 42516
7.750000 2.239706e-04 1.928665e-04 1.139717e-04 42330
8.250000 2.244809e-04 1.930758e-04 1.138166e-04 42377
8.750000 2.233147e-04 1.922190e-04 1.134365e-04 42347
9.250000 2.226605e-04 1.925726e-04 1.127664e-04 42549
9.750000 2.229756e-04 1.927904e-04 1.123993e-04 42488
10.250000 2.151805e-04 1.837175e-04 1.120986e-04 42273
10.750000 1.972883e-04 1.628014e-04 1.101752e-04 42291
11.250000 1.697659e-04 1.433623e-04 9.104952e-05 25961
11.750000 1.321395e-04 1.221129e-04 5.172195e-05 1827
12.250000 8.840764e-05 8.878991e-05 2.429901e-06 3
12.750000 3.953470e-05 4.025090e-05 2.229002e-06 5
13.250000 4.942225e-06 4.102063e-06 1.987864e-06 11
13.750000 1.902449e-06 1.636068e-12 1.902450e-06 4
14.250000 5.082142e-06 4.047059e-06 2.032367e-06 8
14.750000 2.242711e-06 2.467025e-07 2.165823e-06 7
