# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 1.992862e-05 1.992862e-05 1
1.750000 5.607453e-07 2.453718e-05 2.412049e-05 1
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 1.510230e-05 4.142877e-05 4.701829e-05 1
3.250000 1.899303e-05 5.960161e-05 6.282721e-05 38
3.750000 2.044821e-05 7.649983e-05 7.953847e-05 554
4.250000 2.374634e-05 8.947742e-05 9.258453e-05 859
4.750000 2.655520e-05 9.568042e-05 9.963683e-05 945
5.250000 2.825310e-05 1.014518e-04 1.050188e-04 957
5.750000 2.906544e-05 1.020064e-04 1.062938e-04 902
6.250000 2.862962e-05 9.638305e-05 1.010673e-04 878
6.750000 2.904757e-05 9.897566e-05 1.027191e-04 947
7.250000 2.876392e-05 9.648950e-05 1.004768e-04 910
7.750000 2.878705e-05 9.899582e-05 1.037593e-04 933
8.250000 2.850225e-05 9.330537e-05 9.831936e-05 881
8.750000 2.762407e-05 9.564733e-05 9.919298e-05 881
9.250000 2.801119e-05 9.098912e-05 9.569348e-05 869
9.750000 2.753970e-05 9.224050e-05 9.698555e-05 924
10.250000 2.638868e-05 9.337777e-05 9.635850e-05 808
10.750000 2.378809e-05 9.509544e-05 9.787249e-05 964
11.250000 2.082797e-05 7.805824e-05 8.106761e-05 533
11.750000 1.692743e-05 5.487169e-05 5.699302e-05 38
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
