# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 3.787698e-10 3.319718e-08 3.318111e-08 1
1.250000 2.723814e-10 7.390502e-08 7.366039e-08 1
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.741896e-05 4.730893e-05 4.954627e-05 43
3.750000 2.146437e-05 7.299136e-05 7.597782e-05 568
4.250000 2.437615e-05 8.619972e-05 8.933756e-05 868
4.750000 2.686250e-05 8.830046e-05 9.163541e-05 953
5.250000 2.834777e-05 9.333380e-05 9.689374e-05 940
5.750000 2.812514e-05 9.299511e-05 9.651105e-05 888
6.250000 2.781730e-05 8.855255e-05 9.339257e-05 859
6.750000 2.849441e-05 8.915189e-05 9.263965e-05 890
7.250000 2.887391e-05 8.816898e-05 9.243555e-05 918
7.750000 2.851221e-05 8.926569e-05 9.399446e-05 932
8.250000 2.874850e-05 8.659828e-05 9.168531e-05 908
8.750000 2.820589e-05 8.774485e-05 9.205081e-05 889
9.250000 2.871277e-05 8.513827e-05 9.060844e-05 914
9.750000 2.785408e-05 8.740208e-05 9.249827e-05 884
10.250000 2.655953e-05 8.880726e-05 9.253412e-05 957
10.750000 2.382845e-05 8.143597e-05 8.493023e-05 868
11.250000 2.092714e-05 6.721316e-05 7.063422e-05 511
11.750000 1.907438e-05 4.351709e-05 5.007230e-05 32
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
