# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 1.743897e-06 2.809891e-06 4.551983e-06 1
2.750000 1.870429e-05 2.032463e-06 1.958515e-05 1
3.250000 1.515168e-05 1.315872e-05 2.120326e-05 40
3.750000 2.119835e-05 2.651460e-05 3.439677e-05 535
4.250000 2.343490e-05 3.076176e-05 3.887563e-05 881
4.750000 2.711047e-05 3.154451e-05 4.188314e-05 892
5.250000 2.813766e-05 3.142910e-05 4.192456e-05 911
5.750000 2.884058e-05 3.334508e-05 4.413241e-05 947
6.250000 2.849667e-05 3.415723e-05 4.367132e-05 1017
6.750000 2.830558e-05 3.339471e-05 4.364291e-05 894
7.250000 2.828561e-05 3.119386e-05 4.169209e-05 905
7.750000 2.862464e-05 3.012021e-05 4.192427e-05 873
8.250000 2.862357e-05 3.009987e-05 4.237795e-05 950
8.750000 2.757694e-05 3.071151e-05 4.107261e-05 888
9.250000 2.896781e-05 3.166505e-05 4.298291e-05 890
9.750000 2.773617e-05 3.218017e-05 4.198915e-05 830
10.250000 2.613804e-05 3.295293e-05 4.183717e-05 896
10.750000 2.319358e-05 3.117045e-05 3.896650e-05 897
11.250000 2.033374e-05 2.486062e-05 3.208397e-05 533
11.750000 1.773816e-05 1.830246e-05 2.430625e-05 43
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
