# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 1.743897e-06 7.909013e-05 7.960353e-05 1
2.750000 1.870429e-05 8.062935e-05 7.335104e-05 1
3.250000 1.515168e-05 8.153108e-05 8.348013e-05 40
3.750000 2.119835e-05 1.045532e-04 1.069037e-04 535
4.250000 2.343490e-05 1.071903e-04 1.100037e-04 881
4.750000 2.711047e-05 1.141598e-04 1.175478e-04 892
5.250000 2.813766e-05 1.189167e-04 1.227615e-04 911
5.750000 2.884058e-05 1.213942e-04 1.251560e-04 947
6.250000 2.849667e-05 1.159393e-04 1.187265e-04 1017
6.750000 2.830558e-05 1.144163e-04 1.180175e-04 894
7.250000 2.828561e-05 1.104488e-04 1.137294e-04 905
7.750000 2.862464e-05 1.108963e-04 1.153001e-04 873
8.250000 2.862357e-05 1.090829e-04 1.140530e-04 950
8.750000 2.757694e-05 1.105422e-04 1.145905e-04 888
9.250000 2.896781e-05 1.130387e-04 1.169870e-04 890
9.750000 2.773617e-05 1.142223e-04 1.175745e-04 830
10.250000 2.613804e-05 1.142043e-04 1.179108e-04 896
10.750000 2.319358e-05 1.101543e-04 1.130267e-04 897
11.250000 2.033374e-05 9.983969e-05 1.016450e-04 533
11.750000 1.773816e-05 8.773819e-05 9.217485e-05 43
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
