# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.830811e-05 2.162885e-05 2.666832e-05 50
3.750000 2.112895e-05 3.204976e-05 3.853537e-05 547
4.250000 2.360879e-05 3.537299e-05 4.170795e-05 913
4.750000 2.685328e-05 3.555047e-05 4.392368e-05 891
5.250000 2.861836e-05 3.636251e-05 4.614593e-05 938
5.750000 2.915471e-05 3.322138e-05 4.367890e-05 939
6.250000 2.798078e-05 3.666760e-05 4.702813e-05 875
6.750000 2.746174e-05 3.608871e-05 4.495693e-05 908
7.250000 2.782951e-05 3.481630e-05 4.448386e-05 837
7.750000 2.850892e-05 3.448132e-05 4.433366e-05 943
8.250000 2.785490e-05 3.560477e-05 4.449168e-05 878
8.750000 2.855457e-05 3.586363e-05 4.626836e-05 923
9.250000 2.839033e-05 3.432525e-05 4.353778e-05 896
9.750000 2.811356e-05 3.466066e-05 4.433416e-05 915
10.250000 2.744939e-05 3.494537e-05 4.432793e-05 898
10.750000 2.369557e-05 3.419348e-05 4.169450e-05 877
11.250000 2.052371e-05 2.944556e-05 3.561961e-05 554
11.750000 2.031125e-05 2.299036e-05 3.180084e-05 41
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 1.518204e-05 1.518204e-05 1
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
