# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 3.787698e-10 1.466430e-05 1.466451e-05 1
1.250000 2.723814e-10 2.437528e-05 2.437550e-05 1
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.741896e-05 4.374022e-05 4.904230e-05 43
3.750000 2.146437e-05 5.372260e-05 5.786487e-05 568
4.250000 2.437615e-05 6.727941e-05 7.105868e-05 868
4.750000 2.686250e-05 6.910549e-05 7.424580e-05 953
5.250000 2.834777e-05 7.221476e-05 7.709547e-05 940
5.750000 2.812514e-05 7.273956e-05 7.799815e-05 888
6.250000 2.781730e-05 7.059612e-05 7.653526e-05 859
6.750000 2.849441e-05 6.794096e-05 7.301220e-05 890
7.250000 2.887391e-05 6.878896e-05 7.466304e-05 918
7.750000 2.851221e-05 7.114343e-05 7.734146e-05 932
8.250000 2.874850e-05 6.682021e-05 7.341833e-05 908
8.750000 2.820589e-05 6.724469e-05 7.269464e-05 889
9.250000 2.871277e-05 7.046868e-05 7.730455e-05 914
9.750000 2.785408e-05 6.843414e-05 7.429374e-05 884
10.250000 2.655953e-05 6.899706e-05 7.446735e-05 957
10.750000 2.382845e-05 6.217409e-05 6.702391e-05 868
11.250000 2.092714e-05 5.486164e-05 5.860421e-05 511
11.750000 1.907438e-05 3.663459e-05 4.284287e-05 32
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
