# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 1.743897e-06 7.925691e-07 2.349480e-06 1
2.750000 1.870429e-05 5.158287e-07 1.906372e-05 1
3.250000 1.515168e-05 2.957915e-05 3.385567e-05 40
3.750000 2.119835e-05 5.268287e-05 5.702357e-05 535
4.250000 2.343490e-05 5.962896e-05 6.375927e-05 881
4.750000 2.711047e-05 6.525310e-05 7.065432e-05 892
5.250000 2.813766e-05 6.961732e-05 7.508482e-05 911
5.750000 2.884058e-05 7.078688e-05 7.680785e-05 947
6.250000 2.849667e-05 7.265571e-05 7.797715e-05 1017
6.750000 2.830558e-05 6.927555e-05 7.509011e-05 894
7.250000 2.828561e-05 6.138223e-05 6.657855e-05 905
7.750000 2.862464e-05 6.234371e-05 6.937680e-05 873
8.250000 2.862357e-05 6.289425e-05 7.063766e-05 950
8.750000 2.757694e-05 6.031287e-05 6.744649e-05 888
9.250000 2.896781e-05 6.344709e-05 6.999499e-05 890
9.750000 2.773617e-05 6.410307e-05 6.971173e-05 830
10.250000 2.613804e-05 6.614948e-05 7.116069e-05 896
10.750000 2.319358e-05 6.546525e-05 6.995212e-05 897
11.250000 2.033374e-05 5.104914e-05 5.492737e-05 533
11.750000 1.773816e-05 3.299230e-05 3.701124e-05 43
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
