# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 3.158970e-14 8.917067e-11 8.917344e-11 1
1.750000 5.607453e-07 3.216248e-09 5.611993e-07 1
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 1.510230e-05 1.361782e-07 1.502958e-05 1
3.250000 1.899303e-05 1.871361e-05 2.583289e-05 38
3.750000 2.044821e-05 2.484940e-05 3.198721e-05 554
4.250000 2.374634e-05 3.021041e-05 3.867186e-05 859
4.750000 2.655520e-05 3.218903e-05 4.156050e-05 945
5.250000 2.825310e-05 3.399167e-05 4.382590e-05 957
5.750000 2.906544e-05 3.348044e-05 4.415696e-05 902
6.250000 2.862962e-05 3.223108e-05 4.272853e-05 878
6.750000 2.904757e-05 3.235039e-05 4.331452e-05 947
7.250000 2.876392e-05 3.228744e-05 4.322364e-05 910
7.750000 2.878705e-05 3.325783e-05 4.408449e-05 933
8.250000 2.850225e-05 3.111663e-05 4.225427e-05 881
8.750000 2.762407e-05 3.139203e-05 4.146453e-05 881
9.250000 2.801119e-05 2.979097e-05 4.138611e-05 869
9.750000 2.753970e-05 3.162472e-05 4.243505e-05 924
10.250000 2.638868e-05 3.037350e-05 4.026604e-05 808
10.750000 2.378809e-05 3.167653e-05 3.915166e-05 964
11.250000 2.082797e-05 2.458318e-05 3.283393e-05 533
11.750000 1.692743e-05 1.412431e-05 2.263029e-05 38
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
