# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 3.787582e-10 1.531062e-05 1.531099e-05 1
1.250000 2.723814e-10 1.513354e-05 1.513375e-05 1
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.741896e-05 2.225074e-05 3.014918e-05 43
3.750000 2.146437e-05 2.931361e-05 3.646171e-05 568
4.250000 2.437615e-05 3.459002e-05 4.256089e-05 868
4.750000 2.686250e-05 3.541905e-05 4.427012e-05 953
5.250000 2.834777e-05 3.737400e-05 4.652640e-05 940
5.750000 2.812514e-05 3.501233e-05 4.519130e-05 888
6.250000 2.781730e-05 3.458231e-05 4.487214e-05 859
6.750000 2.849441e-05 3.452455e-05 4.410969e-05 890
7.250000 2.887391e-05 3.490645e-05 4.500619e-05 918
7.750000 2.851221e-05 3.564026e-05 4.541194e-05 932
8.250000 2.874850e-05 3.543783e-05 4.507658e-05 908
8.750000 2.820589e-05 3.495780e-05 4.449158e-05 889
9.250000 2.871277e-05 3.395736e-05 4.508632e-05 914
9.750000 2.785408e-05 3.522129e-05 4.481252e-05 884
10.250000 2.655953e-05 3.665076e-05 4.548643e-05 957
10.750000 2.382845e-05 3.389415e-05 4.176684e-05 868
11.250000 2.092714e-05 2.933043e-05 3.586116e-05 511
11.750000 1.907438e-05 2.212519e-05 2.782546e-05 32
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
