# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -1.285366e-07     -1.285366e-07 0.000000e+00  1.412547e-09 0.000000e+00  -5.327599e-09 0.000000e+00
0.770508 1.490565e-07     1.490565e-07 0.000000e+00  3.035531e-09 0.000000e+00  6.816561e-09 0.000000e+00
1.284179 -1.844664e-07     -1.844664e-07 0.000000e+00  6.257823e-09 0.000000e+00  -4.093247e-09 0.000000e+00
1.797851 3.566868e-07     3.566868e-07 0.000000e+00  3.431733e-09 0.000000e+00  -8.303755e-09 0.000000e+00
2.311523 -1.574912e-07     -1.574912e-07 0.000000e+00  2.546394e-08 0.000000e+00  -8.728290e-08 0.000000e+00
2.825194 7.374307e-08     7.374307e-08 0.000000e+00  2.604646e-08 0.000000e+00  2.887611e-07 0.000000e+00
3.338866 -2.331339e-07     -2.331339e-07 0.000000e+00  3.426504e-08 0.000000e+00  2.888138e-07 0.000000e+00
3.852538 6.798948e-08     6.798948e-08 0.000000e+00  2.439874e-07 0.000000e+00  -2.658743e-07 0.000000e+00
4.366210 -7.674665e-07     -7.674665e-07 0.000000e+00  -1.462558e-07 0.000000e+00  1.006349e-07 0.000000e+00
4.879881 -1.022093e-07     -1.022093e-07 0.000000e+00  1.798070e-07 0.000000e+00  -2.789649e-07 0.000000e+00
5.393553 5.764143e-07     5.764143e-07 0.000000e+00  2.416279e-08 0.000000e+00  -4.955501e-07 0.000000e+00
5.907225 3.992984e-07     3.992984e-07 0.000000e+00  7.297457e-08 0.000000e+00  2.673526e-07 0.000000e+00
6.420896 1.764702e-08     1.764702e-08 0.000000e+00  2.752140e-07 0.000000e+00  -4.678375e-07 0.000000e+00
6.934568 -4.693239e-07     -4.693239e-07 0.000000e+00  1.288377e-08 0.000000e+00  7.178592e-08 0.000000e+00
7.448240 6.242890e-07     6.242890e-07 0.000000e+00  3.286679e-07 0.000000e+00  -9.979066e-08 0.000000e+00
7.961912 -6.329267e-08     -6.329267e-08 0.000000e+00  6.780830e-08 0.000000e+00  -5.458543e-07 0.000000e+00
8.475583 -2.862321e-08     -2.862321e-08 0.000000e+00  -5.961371e-07 0.000000e+00  -7.171670e-07 0.000000e+00
8.989255 -1.456878e-07     -1.456878e-07 0.000000e+00  -6.366959e-07 0.000000e+00  -4.281572e-09 0.000000e+00
9.502927 -1.972531e-07     -1.972531e-07 0.000000e+00  5.329343e-08 0.000000e+00  3.077556e-07 0.000000e+00
10.016598 -8.749066e-07     -8.749066e-07 0.000000e+00  1.091531e-06 0.000000e+00  -5.200295e-07 0.000000e+00
10.530270 4.086070e-07     4.086070e-07 0.000000e+00  4.199594e-07 0.000000e+00  -2.031759e-07 0.000000e+00
11.043942 2.760546e-07     2.760546e-07 0.000000e+00  1.846475e-07 0.000000e+00  3.808623e-07 0.000000e+00
11.557613 5.865276e-07     5.865276e-07 0.000000e+00  2.380039e-07 0.000000e+00  2.398343e-08 0.000000e+00
12.071285 1.465919e-08     1.465919e-08 0.000000e+00  3.058904e-07 0.000000e+00  -4.585379e-08 0.000000e+00
12.584957 -1.160301e-07     -1.160301e-07 0.000000e+00  9.677983e-08 0.000000e+00  -6.222975e-08 0.000000e+00
13.098629 -1.935279e-07     -1.935279e-07 0.000000e+00  -6.596334e-09 0.000000e+00  8.095936e-09 0.000000e+00
13.612300 1.013130e-07     1.013130e-07 0.000000e+00  1.235005e-08 0.000000e+00  3.586295e-09 0.000000e+00
14.125972 -1.022565e-07     -1.022565e-07 0.000000e+00  -2.530191e-09 0.000000e+00  1.532537e-09 0.000000e+00
14.639644 1.119197e-07     1.119197e-07 0.000000e+00  3.437206e-09 0.000000e+00  -2.204979e-09 0.000000e+00
