# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
0.061556 9.451622e-08   1.674585e-17 6.728806e-37   5.022856e-14 -3.226004e-23   -4.131199e-14 5.360832e-26
0.184667 9.797633e-08   1.959773e-17 4.017615e-37   3.314586e-14 3.705769e-22   -2.356610e-14 4.010181e-25
0.307779 9.056549e-08   2.122232e-17 5.233511e-37   4.615292e-14 0.000000e+00   -3.797203e-14 8.688726e-25
0.430890 7.063844e-08   1.733475e-17 4.648403e-37   5.401143e-14 4.235165e-22   -4.903897e-14 1.002545e-25
0.554001 4.706967e-08   1.019547e-17 2.223296e-38   3.837383e-14 -9.264423e-22   -3.616847e-14 5.569696e-26
0.677113 2.885649e-08   4.450490e-18 5.045724e-37   1.809572e-14 4.499863e-22   -1.726748e-14 -6.683635e-26
0.800224 1.765633e-08   1.331851e-18 8.980313e-37   5.400639e-15 -1.522012e-21   -5.090225e-15 2.979787e-25
0.923336 1.115553e-08   4.355744e-19 6.334620e-37   1.089069e-15 1.852885e-22   -9.650585e-16 6.126666e-25
1.046447 7.857462e-09   3.757073e-19 6.516904e-37   2.916669e-16 -1.005852e-21   -2.303029e-16 5.569696e-26
1.169558 7.777810e-09   6.436029e-19 1.432749e-36   2.738901e-16 -8.470329e-22   -2.140394e-16 -4.901332e-25
1.292670 1.009909e-08   1.507051e-18 2.833757e-37   5.219536e-16 7.411538e-22   -4.214691e-16 -4.010181e-25
1.415781 1.305400e-08   2.645922e-18 6.027163e-38   9.204579e-16 -1.541626e-21   -7.526970e-16 -3.009332e-25
1.538893 1.530224e-08   3.300915e-18 4.292607e-37   1.226327e-15 5.132427e-22   -9.954693e-16 -7.256340e-25
1.662004 1.869927e-08   5.230233e-18 4.980588e-37   1.697079e-15 -1.093122e-21   -1.352646e-15 -2.862448e-25
1.785115 3.098615e-08   7.699381e-18 5.346859e-37   6.132395e-15 -3.238325e-22   -5.179953e-15 3.174763e-25
1.908227 7.054906e-08   1.440044e-17 1.045653e-36   3.925448e-14 3.194795e-22   -3.429171e-14 -6.722506e-25
2.031338 1.560288e-07   1.448252e-16 5.800657e-37   1.819126e-13 1.285203e-21   -1.577125e-13 -9.183960e-25
2.154450 2.817746e-07   2.107280e-16 2.212137e-37   5.204572e-13 -6.792160e-22   -4.412710e-13 1.430432e-26
2.277561 5.202666e-07   5.404916e-16 7.018075e-37   1.618619e-12 6.177745e-22   -1.348482e-12 2.945371e-25
2.400672 9.250774e-07   7.100734e-15 1.832780e-37   4.467564e-12 -1.374610e-21   -3.618897e-12 6.871600e-25
2.523784 1.377183e-06   1.025944e-14 7.227903e-37   9.669307e-12 -9.888666e-22   -7.782933e-12 -7.833863e-25
2.646895 2.311584e-06   2.128451e-14 3.378794e-37   3.123233e-11 -8.087911e-22   -2.591019e-11 -8.929839e-25
2.770007 3.662165e-06   1.590948e-13 8.558964e-37   7.706429e-11 -1.977676e-21   -6.381193e-11 -2.316943e-25
2.893118 5.720308e-06   2.418311e-13 3.580562e-37   1.762383e-10 -2.760246e-21   -1.437582e-10 -6.606842e-25
3.016229 8.954147e-06   1.772660e-13 1.073210e-36   4.036452e-10 -1.574912e-21   -3.236458e-10 -6.781816e-25
3.139341 1.356288e-05   1.958079e-12 5.759292e-38   8.891533e-10 -2.346461e-21   -7.071596e-10 6.223755e-25
3.262452 1.996164e-05   4.164462e-12 6.589365e-37   1.948683e-09 -1.095939e-21   -1.554380e-09 -1.072273e-25
