# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.489213e-05    8.840842e-07 9.488801e-05 1.394915e-17
1.596051 9.489412e-05    1.170067e-06 9.488691e-05 3.225355e-16
2.660086 9.667200e-05    1.567903e-05 9.539214e-05 -1.569869e-14
3.724120 2.285112e-04    2.931681e-05 2.266230e-04 -9.326492e-14
4.788154 2.846406e-04    3.823694e-05 2.820610e-04 -2.101981e-13
5.852189 2.869888e-04    4.040259e-05 2.841257e-04 2.802799e-12
6.916223 2.804307e-04    4.054856e-05 2.774806e-04 1.710271e-12
7.980257 2.878075e-04    4.043567e-05 2.849527e-04 6.675151e-14
9.044291 2.810860e-04    4.063483e-05 2.781375e-04 -2.312789e-12
10.108326 2.835532e-04    3.826466e-05 2.809466e-04 7.236942e-12
11.172360 2.308809e-04    2.924380e-05 2.290182e-04 1.475679e-12
12.236394 9.661129e-05    1.586419e-05 9.529993e-05 -7.289032e-15
13.300429 9.489745e-05    1.341821e-06 9.488796e-05 -2.236917e-16
14.364463 9.488849e-05    3.658218e-07 9.488779e-05 -5.433480e-17
