# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 8.747199e-07    8.739454e-07 3.636333e-08 3.207176e-17
1.596051 1.102362e-06    1.102051e-06 1.745419e-08 3.810401e-16
2.660086 1.600054e-05    1.570942e-05 3.038491e-06 -7.362113e-16
3.724120 7.161731e-05    2.931084e-05 6.533675e-05 1.023534e-12
4.788154 9.136722e-05    3.821043e-05 8.298993e-05 6.040071e-13
5.852189 9.393782e-05    4.036375e-05 8.479246e-05 5.320631e-12
6.916223 9.281719e-05    4.053988e-05 8.350433e-05 -1.424422e-12
7.980257 9.450110e-05    4.045002e-05 8.540640e-05 2.184198e-16
9.044291 9.276503e-05    4.063845e-05 8.340603e-05 -2.698843e-12
10.108326 9.205959e-05    3.822522e-05 8.370087e-05 7.965021e-12
11.172360 7.210133e-05    2.925993e-05 6.586729e-05 3.958371e-12
12.236394 1.583849e-05    1.570211e-05 2.081064e-06 -2.945687e-14
13.300429 1.324357e-06    1.324253e-06 2.178281e-08 -1.979682e-16
14.364463 1.605315e-07    1.575436e-07 3.086431e-08 -2.198078e-18
