# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.301909e-07    8.739454e-07 3.185003e-07 3.204812e-17
1.596051 1.106475e-06    1.102051e-06 9.690946e-08 3.805442e-16
2.660086 1.925027e-05    1.570942e-05 1.112600e-05 -7.344211e-16
3.724120 2.087415e-04    2.931084e-05 2.066709e-04 1.022758e-12
4.788154 2.661692e-04    3.821043e-05 2.634111e-04 6.036655e-13
5.852189 2.713305e-04    4.036375e-05 2.683015e-04 5.315717e-12
6.916223 2.680436e-04    4.053988e-05 2.649628e-04 -1.423915e-12
7.980257 2.735876e-04    4.045002e-05 2.705808e-04 2.013893e-16
9.044291 2.669460e-04    4.063845e-05 2.638396e-04 -2.695156e-12
10.108326 2.674124e-04    3.822522e-05 2.646512e-04 7.958809e-12
11.172360 2.096324e-04    2.925993e-05 2.075708e-04 3.954546e-12
12.236394 1.808253e-05    1.570211e-05 8.969441e-06 -2.942959e-14
13.300429 1.328031e-06    1.324253e-06 1.010868e-07 -1.979620e-16
14.364463 2.365031e-07    1.575436e-07 1.763971e-07 -2.193656e-18
