# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     2.081895e-08 2.989925e-09 3.600854e-09     2.017383e-08 0.000000e+00 2.282002e-09     6.451147e-10 2.989925e-09 1.318852e-09
1.596051     1.454364e-07 9.875412e-10 3.752961e-09     1.440911e-07 0.000000e+00 4.541982e-09     1.345370e-09 9.875412e-10 -7.890204e-10
2.660086     -9.655419e-08 -1.386251e-07 9.498417e-09     -5.821185e-10 0.000000e+00 2.585922e-08     -9.597208e-08 -1.386251e-07 -1.636080e-08
3.724120     -1.024046e-06 3.372127e-07 2.822449e-06     -7.291365e-09 0.000000e+00 1.915568e-07     -1.016755e-06 3.372127e-07 2.630892e-06
4.788154     -2.026478e-06 6.101781e-07 -6.777626e-07     -2.210049e-07 0.000000e+00 1.215817e-07     -1.805473e-06 6.101781e-07 -7.993442e-07
5.852189     6.952600e-06 -2.583600e-06 -1.043596e-06     4.182752e-07 0.000000e+00 6.774472e-08     6.534325e-06 -2.583600e-06 -1.111341e-06
6.916223     1.043212e-06 8.478288e-07 -1.606927e-06     -4.519324e-07 0.000000e+00 2.225256e-08     1.495145e-06 8.478288e-07 -1.629179e-06
7.980257     1.170104e-06 2.020836e-06 1.780335e-06     -6.205449e-08 0.000000e+00 4.409629e-08     1.232159e-06 2.020836e-06 1.736238e-06
9.044291     2.361839e-06 6.281382e-06 1.156541e-06     -1.512127e-07 0.000000e+00 -5.627683e-07     2.513051e-06 6.281382e-06 1.719309e-06
10.108326     -6.055378e-06 -1.896811e-06 1.472164e-06     -6.457063e-07 0.000000e+00 9.716068e-07     -5.409672e-06 -1.896811e-06 5.005575e-07
11.172360     5.760794e-06 -1.112878e-06 5.258893e-07     3.536730e-07 0.000000e+00 1.979866e-07     5.407121e-06 -1.112878e-06 3.279026e-07
12.236394     -9.018015e-08 7.833482e-08 1.698249e-07     -2.734819e-08 0.000000e+00 2.386761e-07     -6.283196e-08 7.833482e-08 -6.885119e-08
13.300429     -7.642956e-08 7.849665e-11 2.886870e-10     -7.769740e-08 0.000000e+00 8.468975e-10     1.267845e-09 7.849665e-11 -5.582106e-10
14.364463     -2.456083e-09 -5.221828e-10 -8.722491e-11     -2.817431e-09 0.000000e+00 2.403895e-10     3.613480e-10 -5.221828e-10 -3.276144e-10
