# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 8.971035e-07    8.739454e-07 2.024402e-07 3.207176e-17
1.596051 1.102876e-06    1.102051e-06 3.794135e-08 3.810401e-16
2.660086 1.679244e-05    1.570942e-05 5.933053e-06 -7.362113e-16
3.724120 1.075732e-04    2.931084e-05 1.034980e-04 1.023534e-12
4.788154 1.365777e-04    3.821043e-05 1.311215e-04 6.040071e-13
5.852189 1.397279e-04    4.036375e-05 1.337510e-04 5.320631e-12
6.916223 1.385507e-04    4.053988e-05 1.324924e-04 -1.424422e-12
7.980257 1.408555e-04    4.045002e-05 1.349224e-04 2.184198e-16
9.044291 1.377862e-04    4.063845e-05 1.316672e-04 -2.698843e-12
10.108326 1.381949e-04    3.822522e-05 1.327732e-04 7.965021e-12
11.172360 1.082460e-04    2.925993e-05 1.041974e-04 3.958371e-12
12.236394 1.629841e-05    1.570211e-05 4.371658e-06 -2.945687e-14
13.300429 1.324928e-06    1.324253e-06 4.455851e-08 -1.979682e-16
14.364463 1.705656e-07    1.575436e-07 6.538232e-08 -2.198078e-18
