# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 8.754668e-07    8.739454e-07 5.127833e-08 3.207176e-17
1.596051 1.102353e-06    1.102051e-06 1.687943e-08 3.810401e-16
2.660086 1.590026e-05    1.570942e-05 2.456291e-06 -7.362113e-16
3.724120 5.520853e-05    2.931084e-05 4.677428e-05 1.023534e-12
4.788154 7.077353e-05    3.821043e-05 5.956720e-05 6.040071e-13
5.852189 7.307271e-05    4.036375e-05 6.086927e-05 5.320631e-12
6.916223 7.226172e-05    4.053988e-05 5.983058e-05 -1.424422e-12
7.980257 7.330572e-05    4.045002e-05 6.113530e-05 2.184198e-16
9.044291 7.234284e-05    4.063845e-05 5.987238e-05 -2.698843e-12
10.108326 7.141604e-05    3.822522e-05 6.025876e-05 7.965021e-12
11.172360 5.575336e-05    2.925993e-05 4.741662e-05 3.958371e-12
12.236394 1.579384e-05    1.570211e-05 1.708325e-06 -2.945687e-14
13.300429 1.324349e-06    1.324253e-06 2.124702e-08 -1.979682e-16
14.364463 1.603585e-07    1.575436e-07 2.995136e-08 -2.198078e-18
