# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     2.081925e-08 2.992519e-09 3.603347e-09     2.017383e-08 0.000000e+00 2.282002e-09     6.454185e-10 2.992519e-09 1.321345e-09
1.596051     1.454382e-07 9.874310e-10 3.752202e-09     1.440911e-07 0.000000e+00 4.541982e-09     1.347115e-09 9.874310e-10 -7.897801e-10
2.660086     -9.675261e-08 -1.388105e-07 9.459336e-09     -5.821185e-10 0.000000e+00 2.585922e-08     -9.617049e-08 -1.388105e-07 -1.639989e-08
3.724120     -1.025450e-06 3.378593e-07 2.824421e-06     -7.291365e-09 0.000000e+00 1.915568e-07     -1.018159e-06 3.378593e-07 2.632864e-06
4.788154     -2.028153e-06 6.101627e-07 -6.794040e-07     -2.210049e-07 0.000000e+00 1.215817e-07     -1.807149e-06 6.101627e-07 -8.009857e-07
5.852189     6.958639e-06 -2.585104e-06 -1.044606e-06     4.182752e-07 0.000000e+00 6.774472e-08     6.540364e-06 -2.585104e-06 -1.112351e-06
6.916223     1.043720e-06 8.488062e-07 -1.607997e-06     -4.519324e-07 0.000000e+00 2.225256e-08     1.495652e-06 8.488062e-07 -1.630250e-06
7.980257     1.171335e-06 2.022779e-06 1.782260e-06     -6.205449e-08 0.000000e+00 4.409629e-08     1.233389e-06 2.022779e-06 1.738163e-06
9.044291     2.364219e-06 6.287291e-06 1.159177e-06     -1.512127e-07 0.000000e+00 -5.627683e-07     2.515431e-06 6.287291e-06 1.721945e-06
10.108326     -6.060249e-06 -1.898746e-06 1.472124e-06     -6.457063e-07 0.000000e+00 9.716068e-07     -5.414543e-06 -1.898746e-06 5.005174e-07
11.172360     5.766297e-06 -1.114636e-06 5.257180e-07     3.536730e-07 0.000000e+00 1.979866e-07     5.412624e-06 -1.114636e-06 3.277314e-07
12.236394     -9.026451e-08 7.840639e-08 1.697581e-07     -2.734819e-08 0.000000e+00 2.386761e-07     -6.291632e-08 7.840639e-08 -6.891801e-08
13.300429     -7.642951e-08 7.812163e-11 2.891202e-10     -7.769740e-08 0.000000e+00 8.468975e-10     1.267889e-09 7.812163e-11 -5.577773e-10
14.364463     -2.455298e-09 -5.232392e-10 -8.722419e-11     -2.817431e-09 0.000000e+00 2.403895e-10     3.621328e-10 -5.232392e-10 -3.276137e-10
