# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.088609e-07    8.840842e-07 2.107353e-07 1.390990e-17
1.596051 1.170685e-06    1.170067e-06 3.352497e-08 3.229737e-16
2.660086 1.619366e-05    1.567903e-05 4.051982e-06 -1.572691e-14
3.724120 9.267796e-05    2.931681e-05 8.791941e-05 -9.332978e-14
4.788154 1.187755e-04    3.823694e-05 1.124534e-04 -2.102189e-13
5.852189 1.204099e-04    4.040259e-05 1.134168e-04 2.805627e-12
6.916223 1.177673e-04    4.054856e-05 1.105587e-04 1.712259e-12
7.980257 1.210560e-04    4.043567e-05 1.141028e-04 6.682004e-14
9.044291 1.187994e-04    4.063483e-05 1.116442e-04 -2.315955e-12
10.108326 1.187597e-04    3.826466e-05 1.123942e-04 7.243022e-12
11.172360 9.362769e-05    2.924380e-05 8.893518e-05 1.477400e-12
12.236394 1.627186e-05    1.586419e-05 3.620523e-06 -7.307769e-15
13.300429 1.353546e-06    1.341821e-06 1.783976e-07 -2.236838e-16
14.364463 4.013785e-07    3.658218e-07 1.653285e-07 -5.438861e-17
