# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 nan    8.739454e-07 nan 3.207176e-17
1.596051 1.102246e-06    1.102051e-06 7.074327e-09 3.810401e-16
2.660086 1.576041e-05    1.570942e-05 1.267097e-06 -7.362113e-16
3.724120 3.824438e-05    2.931084e-05 2.454555e-05 1.023534e-12
4.788154 4.922024e-05    3.821043e-05 3.101598e-05 6.040071e-13
5.852189 5.184398e-05    4.036375e-05 3.245375e-05 5.320631e-12
6.916223 5.106771e-05    4.053988e-05 3.107818e-05 -1.424422e-12
7.980257 5.169398e-05    4.045002e-05 3.218794e-05 2.184198e-16
9.044291 5.157085e-05    4.063845e-05 3.179257e-05 -2.698843e-12
10.108326 4.989666e-05    3.822522e-05 3.194595e-05 7.965021e-12
11.172360 3.895171e-05    2.925993e-05 2.563462e-05 3.958371e-12
12.236394 1.571497e-05    1.570211e-05 6.583353e-07 -2.945687e-14
13.300429 1.324223e-06    1.324253e-06 1.089166e-08 -1.979682e-16
14.364463 nan    1.575436e-07 nan -2.198078e-18
