# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     2.075580e-08 7.223189e-09 4.440979e-09     2.063589e-08 0.000000e+00 1.549563e-09     1.199133e-10 7.223189e-09 2.891416e-09
1.596051     1.320563e-07 1.242838e-09 -3.082041e-09     1.308335e-07 0.000000e+00 -2.471601e-09     1.222761e-09 1.242838e-09 -6.104410e-10
2.660086     -4.265214e-08 -2.815400e-08 8.570057e-08     7.926372e-08 0.000000e+00 4.885831e-08     -1.219159e-07 -2.815400e-08 3.684226e-08
3.724120     -1.216934e-06 2.087189e-06 6.279926e-07     -1.044025e-09 0.000000e+00 -6.879344e-08     -1.215890e-06 2.087189e-06 6.967860e-07
4.788154     -3.872032e-06 3.256112e-08 1.942201e-06     -2.673607e-08 0.000000e+00 -1.017246e-07     -3.845296e-06 3.256112e-08 2.043926e-06
5.852189     5.880846e-06 -5.706711e-07 8.397027e-08     2.578509e-07 0.000000e+00 -1.790215e-07     5.622995e-06 -5.706711e-07 2.629918e-07
6.916223     -3.167211e-06 3.771685e-06 -2.661887e-06     -3.493227e-07 0.000000e+00 4.732856e-08     -2.817889e-06 3.771685e-06 -2.709216e-06
7.980257     2.242709e-06 -3.292517e-07 3.157936e-06     7.625932e-09 0.000000e+00 5.190849e-09     2.235083e-06 -3.292517e-07 3.152746e-06
9.044291     3.049706e-06 5.221293e-06 5.046615e-08     -3.010174e-07 0.000000e+00 -3.620503e-07     3.350723e-06 5.221293e-06 4.125165e-07
10.108326     -5.455594e-06 -3.229571e-06 3.990969e-06     -4.700702e-07 0.000000e+00 3.511019e-07     -4.985524e-06 -3.229571e-06 3.639868e-06
11.172360     4.285534e-06 -9.845492e-07 2.033571e-06     3.001743e-07 0.000000e+00 -2.044660e-07     3.985360e-06 -9.845492e-07 2.238037e-06
12.236394     -1.253610e-07 5.036066e-08 2.293047e-07     -1.939623e-07 0.000000e+00 1.737538e-07     6.860134e-08 5.036066e-08 5.555098e-08
13.300429     -8.015562e-08 -3.884158e-09 1.971555e-08     -8.255744e-08 0.000000e+00 6.582081e-09     2.401812e-09 -3.884158e-09 1.313347e-08
14.364463     -3.954950e-09 7.596446e-10 -4.589357e-09     -7.863744e-09 0.000000e+00 -3.606968e-09     3.908794e-09 7.596446e-10 -9.823890e-10
