# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.630788e-05 3.787698e-10 1.630821e-05 1
1.250000 3.634622e-05 1.926027e-10 3.634605e-05 2
1.750000 2.957137e-05 3.999815e-07 2.971697e-05 2
2.250000 3.773370e-05 6.156448e-06 3.547185e-05 2
2.750000 5.163447e-05 1.699897e-05 4.512846e-05 2
3.250000 6.230247e-05 1.757507e-05 5.988789e-05 203
3.750000 8.309919e-05 2.092857e-05 8.048128e-05 2748
4.250000 9.496667e-05 2.387375e-05 9.192120e-05 4378
4.750000 9.965646e-05 2.674098e-05 9.607957e-05 4624
5.250000 1.014692e-04 2.837104e-05 9.791551e-05 4607
5.750000 1.025005e-04 2.872123e-05 9.823070e-05 4584
6.250000 1.014945e-04 2.827682e-05 9.728377e-05 4520
6.750000 1.012894e-04 2.825020e-05 9.731931e-05 4522
7.250000 9.876903e-05 2.840358e-05 9.459392e-05 4468
7.750000 9.916259e-05 2.856076e-05 9.496964e-05 4563
8.250000 9.817418e-05 2.844406e-05 9.325574e-05 4486
8.750000 9.847053e-05 2.815456e-05 9.412967e-05 4539
9.250000 9.745904e-05 2.851154e-05 9.309594e-05 4528
9.750000 9.851207e-05 2.780706e-05 9.435268e-05 4499
10.250000 9.958294e-05 2.685194e-05 9.594308e-05 4453
10.750000 9.541411e-05 2.358122e-05 9.246407e-05 4492
11.250000 8.135729e-05 2.075143e-05 7.858157e-05 2705
11.750000 6.058828e-05 1.851517e-05 5.683278e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 3.643652e-05 0.000000e+00 3.643652e-05 1
14.250000 4.672029e-05 0.000000e+00 4.672029e-05 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
