# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 3.318111e-08 3.787698e-10 3.319718e-08 1
1.250000 7.230529e-08 1.926027e-10 7.242999e-08 2
1.750000 4.303967e-07 3.999815e-07 9.289093e-08 2
2.250000 5.925001e-06 6.156448e-06 8.607580e-07 2
2.750000 1.678902e-05 1.699897e-05 4.340474e-07 2
3.250000 4.872624e-05 1.757507e-05 4.590862e-05 203
3.750000 7.439143e-05 2.092857e-05 7.148498e-05 2748
4.250000 8.765831e-05 2.387375e-05 8.426710e-05 4378
4.750000 9.225157e-05 2.674098e-05 8.841475e-05 4624
5.250000 9.470155e-05 2.837104e-05 9.085669e-05 4607
5.750000 9.496935e-05 2.872123e-05 9.041620e-05 4584
6.250000 9.430178e-05 2.827682e-05 8.974375e-05 4520
6.750000 9.392658e-05 2.825020e-05 8.961775e-05 4522
7.250000 9.175678e-05 2.840358e-05 8.737006e-05 4468
7.750000 9.211860e-05 2.856076e-05 8.757217e-05 4563
8.250000 9.120662e-05 2.844406e-05 8.580547e-05 4486
8.750000 9.148050e-05 2.815456e-05 8.679179e-05 4539
9.250000 9.096177e-05 2.851154e-05 8.612944e-05 4528
9.750000 9.152912e-05 2.780706e-05 8.700252e-05 4499
10.250000 9.181573e-05 2.685194e-05 8.778187e-05 4453
10.750000 8.771507e-05 2.358122e-05 8.454679e-05 4492
11.250000 7.219435e-05 2.075143e-05 6.917998e-05 2705
11.750000 4.828550e-05 1.851517e-05 4.307147e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 7.688662e-08 0.000000e+00 7.688662e-08 1
14.250000 1.220255e-07 0.000000e+00 1.220255e-07 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
