# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.596322e-06 3.787582e-10 1.596419e-06 1
1.250000 2.465553e-06 1.926027e-10 2.465425e-06 2
1.750000 2.354615e-06 3.999815e-07 2.380547e-06 2
2.250000 7.199914e-06 6.156448e-06 2.470847e-06 2
2.750000 1.832543e-05 1.699897e-05 2.082618e-06 2
3.250000 2.329132e-05 1.757507e-05 1.564340e-05 203
3.750000 3.333248e-05 2.092857e-05 2.575092e-05 2748
4.250000 3.913614e-05 2.387375e-05 3.093817e-05 4378
4.750000 4.126057e-05 2.674098e-05 3.175782e-05 4624
5.250000 4.271205e-05 2.837104e-05 3.236688e-05 4607
5.750000 4.273021e-05 2.872123e-05 3.162681e-05 4584
6.250000 4.272392e-05 2.827682e-05 3.214214e-05 4520
6.750000 4.249350e-05 2.825020e-05 3.199821e-05 4522
7.250000 4.208706e-05 2.840358e-05 3.144906e-05 4468
7.750000 4.219262e-05 2.856076e-05 3.138419e-05 4563
8.250000 4.204562e-05 2.844406e-05 3.078140e-05 4486
8.750000 4.210378e-05 2.815456e-05 3.142122e-05 4539
9.250000 4.218003e-05 2.851154e-05 3.103149e-05 4528
9.750000 4.222446e-05 2.780706e-05 3.168890e-05 4499
10.250000 4.147985e-05 2.685194e-05 3.156789e-05 4453
10.750000 3.891855e-05 2.358122e-05 3.103473e-05 4492
11.250000 3.258417e-05 2.075143e-05 2.494079e-05 2705
11.750000 2.446946e-05 1.851517e-05 1.615178e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 2.313059e-06 0.000000e+00 2.313059e-06 1
14.250000 2.539967e-06 7.944109e-15 2.539967e-06 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
