# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 7.145875e-05 0.000000e+00 7.145875e-05 1
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.498497e-05 1.693226e-05 8.440317e-05 49
3.750000 1.016710e-04 2.084422e-05 9.887119e-05 531
4.250000 1.124300e-04 2.298131e-05 1.092554e-04 849
4.750000 1.131235e-04 2.688972e-05 1.101153e-04 941
5.250000 1.178359e-04 2.879083e-05 1.138504e-04 932
5.750000 1.178018e-04 2.913998e-05 1.138339e-04 924
6.250000 1.185626e-04 2.890038e-05 1.145927e-04 906
6.750000 1.179844e-04 2.770412e-05 1.142195e-04 872
7.250000 1.165329e-04 2.872716e-05 1.137214e-04 944
7.750000 1.187209e-04 2.877821e-05 1.156065e-04 881
8.250000 1.164276e-04 2.894593e-05 1.126031e-04 881
8.750000 1.157971e-04 2.824799e-05 1.122378e-04 902
9.250000 1.176005e-04 2.818622e-05 1.150488e-04 911
9.750000 1.147050e-04 2.858645e-05 1.104107e-04 849
10.250000 1.165890e-04 2.695143e-05 1.130010e-04 941
10.750000 1.129021e-04 2.400070e-05 1.102062e-04 901
11.250000 9.798002e-05 2.110235e-05 9.582442e-05 566
11.750000 9.050900e-05 1.637723e-05 8.892783e-05 42
12.250000 8.862685e-05 1.457068e-05 7.443698e-05 1
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
