# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.550393e-05 3.787582e-10 1.550356e-05 1
1.250000 1.526282e-05 1.926027e-10 1.526272e-05 2
1.750000 1.532302e-05 3.999815e-07 1.545827e-05 2
2.250000 1.643941e-05 6.156448e-06 1.495392e-05 2
2.750000 1.883015e-05 1.699897e-05 1.512464e-05 2
3.250000 2.772308e-05 1.757507e-05 2.153270e-05 203
3.750000 3.684881e-05 2.092857e-05 3.000832e-05 2748
4.250000 4.202603e-05 2.387375e-05 3.452723e-05 4378
4.750000 4.404163e-05 2.674098e-05 3.533827e-05 4624
5.250000 4.562890e-05 2.837104e-05 3.610215e-05 4607
5.750000 4.548196e-05 2.872123e-05 3.524054e-05 4584
6.250000 4.544130e-05 2.827682e-05 3.577452e-05 4520
6.750000 4.511511e-05 2.825020e-05 3.556145e-05 4522
7.250000 4.476465e-05 2.840358e-05 3.480396e-05 4468
7.750000 4.499045e-05 2.856076e-05 3.506219e-05 4563
8.250000 4.450100e-05 2.844406e-05 3.429350e-05 4486
8.750000 4.479418e-05 2.815456e-05 3.481547e-05 4539
9.250000 4.485121e-05 2.851154e-05 3.447650e-05 4528
9.750000 4.505349e-05 2.780706e-05 3.542186e-05 4499
10.250000 4.415787e-05 2.685194e-05 3.518085e-05 4453
10.750000 4.167003e-05 2.358122e-05 3.445563e-05 4492
11.250000 3.587480e-05 2.075143e-05 2.909726e-05 2705
11.750000 2.872049e-05 1.851517e-05 2.259346e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 1.518204e-05 0.000000e+00 1.518204e-05 1
14.250000 1.531404e-05 7.944109e-15 1.531404e-05 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
