# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.466451e-05 3.787698e-10 1.466430e-05 1
1.250000 2.030351e-05 1.926027e-10 2.030338e-05 2
1.750000 2.394043e-05 3.999815e-07 2.419405e-05 2
2.250000 2.227862e-05 6.156448e-06 2.105138e-05 2
2.750000 3.197007e-05 1.699897e-05 2.509123e-05 2
3.250000 4.432421e-05 1.757507e-05 4.039254e-05 203
3.750000 5.889085e-05 2.092857e-05 5.494850e-05 2748
4.250000 6.954444e-05 2.387375e-05 6.549568e-05 4378
4.750000 7.470658e-05 2.674098e-05 6.988105e-05 4624
5.250000 7.642534e-05 2.837104e-05 7.153530e-05 4607
5.750000 7.674057e-05 2.872123e-05 7.076121e-05 4584
6.250000 7.737022e-05 2.827682e-05 7.167980e-05 4520
6.750000 7.518109e-05 2.825020e-05 6.982843e-05 4522
7.250000 7.415015e-05 2.840358e-05 6.868061e-05 4468
7.750000 7.466941e-05 2.856076e-05 6.884499e-05 4563
8.250000 7.358421e-05 2.844406e-05 6.717721e-05 4486
8.750000 7.358798e-05 2.815456e-05 6.757561e-05 4539
9.250000 7.402722e-05 2.851154e-05 6.802075e-05 4528
9.750000 7.357975e-05 2.780706e-05 6.782435e-05 4499
10.250000 7.322056e-05 2.685194e-05 6.810416e-05 4453
10.750000 7.077459e-05 2.358122e-05 6.652448e-05 4492
11.250000 5.948450e-05 2.075143e-05 5.560202e-05 2705
11.750000 4.308161e-05 1.851517e-05 3.856204e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 1.784658e-05 0.000000e+00 1.784658e-05 1
14.250000 1.892402e-05 0.000000e+00 1.892402e-05 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
