# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.529136e-09 3.787698e-10 1.560517e-09 1
1.250000 1.470934e-09 1.926027e-10 1.552031e-09 2
1.750000 3.916504e-07 3.999815e-07 1.099121e-08 2
2.250000 6.909853e-06 6.156448e-06 9.763942e-07 2
2.750000 1.726131e-05 1.699897e-05 3.798402e-07 2
3.250000 3.708299e-05 1.757507e-05 3.290581e-05 203
3.750000 5.532314e-05 2.092857e-05 5.114295e-05 2748
4.250000 6.617691e-05 2.387375e-05 6.183406e-05 4378
4.750000 7.132485e-05 2.674098e-05 6.624686e-05 4624
5.250000 7.333499e-05 2.837104e-05 6.818391e-05 4607
5.750000 7.330307e-05 2.872123e-05 6.709275e-05 4584
6.250000 7.402920e-05 2.827682e-05 6.797076e-05 4520
6.750000 7.193373e-05 2.825020e-05 6.622592e-05 4522
7.250000 7.101890e-05 2.840358e-05 6.539902e-05 4468
7.750000 7.150477e-05 2.856076e-05 6.540000e-05 4563
8.250000 7.046469e-05 2.844406e-05 6.368564e-05 4486
8.750000 7.029250e-05 2.815456e-05 6.400988e-05 4539
9.250000 7.093920e-05 2.851154e-05 6.459526e-05 4528
9.750000 7.047493e-05 2.780706e-05 6.439915e-05 4499
10.250000 6.981244e-05 2.685194e-05 6.432138e-05 4453
10.750000 6.748324e-05 2.358122e-05 6.304283e-05 4492
11.250000 5.563399e-05 2.075143e-05 5.149387e-05 2705
11.750000 3.646887e-05 1.851517e-05 3.055686e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 9.851322e-10 0.000000e+00 9.851313e-10 1
14.250000 3.282708e-10 0.000000e+00 3.282727e-10 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
