# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.975730e-10 3.787582e-10 4.435012e-10 1
1.250000 2.564156e-10 1.926027e-10 2.788615e-10 2
1.750000 4.001748e-07 3.999815e-07 2.476900e-09 2
2.250000 5.941400e-06 6.156448e-06 3.526791e-07 2
2.750000 1.699774e-05 1.699897e-05 2.053017e-07 2
3.250000 2.302179e-05 1.757507e-05 1.544180e-05 203
3.750000 3.323973e-05 2.092857e-05 2.566392e-05 2748
4.250000 3.906475e-05 2.387375e-05 3.083658e-05 4378
4.750000 4.120232e-05 2.674098e-05 3.166795e-05 4624
5.250000 4.266189e-05 2.837104e-05 3.228568e-05 4607
5.750000 4.263943e-05 2.872123e-05 3.151909e-05 4584
6.250000 4.267565e-05 2.827682e-05 3.206023e-05 4520
6.750000 4.242641e-05 2.825020e-05 3.190442e-05 4522
7.250000 4.203592e-05 2.840358e-05 3.137219e-05 4468
7.750000 4.212964e-05 2.856076e-05 3.131079e-05 4563
8.250000 4.198222e-05 2.844406e-05 3.068529e-05 4486
8.750000 4.202958e-05 2.815456e-05 3.133323e-05 4539
9.250000 4.211169e-05 2.851154e-05 3.097126e-05 4528
9.750000 4.217400e-05 2.780706e-05 3.163922e-05 4499
10.250000 4.142094e-05 2.685194e-05 3.147015e-05 4453
10.750000 3.878618e-05 2.358122e-05 3.088710e-05 4492
11.250000 3.250531e-05 2.075143e-05 2.484984e-05 2705
11.750000 2.431471e-05 1.851517e-05 1.592799e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 9.707968e-11 0.000000e+00 9.707882e-11 1
14.250000 1.509665e-11 7.944109e-15 1.510426e-11 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
