# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.531099e-05 3.787582e-10 1.531062e-05 1
1.250000 1.514413e-05 1.926027e-10 1.514403e-05 2
1.750000 1.522395e-05 3.999815e-07 1.535733e-05 2
2.250000 1.650301e-05 6.156448e-06 1.509673e-05 2
2.750000 1.869537e-05 1.699897e-05 1.532080e-05 2
3.250000 2.768784e-05 1.757507e-05 2.153821e-05 203
3.750000 3.682727e-05 2.092857e-05 2.999821e-05 2748
4.250000 4.202065e-05 2.387375e-05 3.451061e-05 4378
4.750000 4.403853e-05 2.674098e-05 3.531686e-05 4624
5.250000 4.564158e-05 2.837104e-05 3.610349e-05 4607
5.750000 4.545272e-05 2.872123e-05 3.522188e-05 4584
6.250000 4.543627e-05 2.827682e-05 3.575728e-05 4520
6.750000 4.509647e-05 2.825020e-05 3.552489e-05 4522
7.250000 4.475537e-05 2.840358e-05 3.478427e-05 4468
7.750000 4.497323e-05 2.856076e-05 3.504550e-05 4563
8.250000 4.448629e-05 2.844406e-05 3.427835e-05 4486
8.750000 4.477575e-05 2.815456e-05 3.479218e-05 4539
9.250000 4.483549e-05 2.851154e-05 3.445825e-05 4528
9.750000 4.505134e-05 2.780706e-05 3.542673e-05 4499
10.250000 4.415279e-05 2.685194e-05 3.516990e-05 4453
10.750000 4.163128e-05 2.358122e-05 3.440700e-05 4492
11.250000 3.586983e-05 2.075143e-05 2.908665e-05 2705
11.750000 2.867788e-05 1.851517e-05 2.256413e-05 190
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 1.547972e-05 0.000000e+00 1.547972e-05 1
14.250000 1.524574e-05 7.944109e-15 1.524574e-05 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
