# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 1.899412e-04 5.486196e-05 1.374354e-04 1
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.790034e-04 6.519675e-05 8.892479e-04 36
3.750000 8.926668e-04 8.778511e-05 9.136420e-04 600
4.250000 7.316054e-04 9.318423e-05 7.178276e-04 931
4.750000 3.749431e-04 9.878155e-05 3.969486e-04 968
5.250000 1.883062e-04 9.619939e-05 2.069268e-04 912
5.750000 1.863943e-04 9.596751e-05 2.105201e-04 934
6.250000 1.846566e-04 8.932808e-05 2.042233e-04 852
6.750000 1.894330e-04 9.066261e-05 2.115134e-04 885
7.250000 1.825973e-04 8.856244e-05 2.043748e-04 901
7.750000 1.820419e-04 8.839412e-05 2.028794e-04 866
8.250000 1.847701e-04 9.381203e-05 2.046295e-04 846
8.750000 1.837013e-04 9.662336e-05 2.119420e-04 899
9.250000 1.886744e-04 9.009997e-05 2.126079e-04 909
9.750000 1.928787e-04 8.978669e-05 2.128825e-04 868
10.250000 3.929967e-04 8.957449e-05 4.029646e-04 906
10.750000 7.285276e-04 9.231583e-05 7.254801e-04 911
11.250000 8.773399e-04 7.993791e-05 8.942002e-04 560
11.750000 8.757441e-04 7.161082e-05 8.851803e-04 37
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 1.411508e-04 1.103158e-04 1.766362e-04 1
14.750000 1.664104e-04 7.579393e-05 2.081824e-04 1
