# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 5.507423e-04 1.202567e-04 5.987844e-04 1
3.250000 8.619300e-04 7.792758e-05 8.580698e-04 32
3.750000 8.742379e-04 1.130868e-04 9.005011e-04 596
4.250000 7.154188e-04 1.083501e-04 7.076507e-04 914
4.750000 3.771319e-04 1.091617e-04 3.966181e-04 891
5.250000 1.927454e-04 1.070843e-04 2.207276e-04 899
5.750000 1.827697e-04 1.031683e-04 2.102690e-04 849
6.250000 1.903081e-04 1.071257e-04 2.204629e-04 899
6.750000 1.820781e-04 1.045968e-04 2.069744e-04 895
7.250000 1.816768e-04 1.056098e-04 2.150337e-04 920
7.750000 1.808094e-04 1.062339e-04 2.134081e-04 901
8.250000 1.829068e-04 1.099156e-04 2.149323e-04 885
8.750000 1.805189e-04 1.144221e-04 2.114933e-04 884
9.250000 1.868959e-04 1.076567e-04 2.142743e-04 917
9.750000 1.932818e-04 1.047303e-04 2.254697e-04 906
10.250000 4.014903e-04 1.102705e-04 4.138598e-04 920
10.750000 7.165317e-04 1.124063e-04 7.175831e-04 916
11.250000 8.680943e-04 9.925135e-05 8.854431e-04 552
11.750000 8.840836e-04 7.870146e-05 8.980667e-04 47
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
