# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.560546e-04 7.399806e-05 8.562499e-04 33
3.750000 8.744835e-04 8.379737e-05 8.952531e-04 601
4.250000 7.299028e-04 9.057978e-05 7.208344e-04 891
4.750000 3.896220e-04 9.182528e-05 4.021434e-04 911
5.250000 1.931388e-04 9.233864e-05 2.108751e-04 899
5.750000 1.952134e-04 8.893581e-05 2.149964e-04 910
6.250000 1.941614e-04 9.313577e-05 2.147835e-04 875
6.750000 1.935960e-04 9.797648e-05 2.162012e-04 942
7.250000 1.953026e-04 8.944390e-05 2.196753e-04 924
7.750000 1.865117e-04 8.910613e-05 2.092776e-04 935
8.250000 1.868994e-04 9.037569e-05 2.077699e-04 872
8.750000 1.850927e-04 9.312021e-05 2.056006e-04 894
9.250000 1.894182e-04 1.004628e-04 2.164831e-04 912
9.750000 1.924313e-04 9.662976e-05 2.122653e-04 881
10.250000 3.921639e-04 9.525858e-05 4.117762e-04 881
10.750000 7.215090e-04 9.210130e-05 7.062338e-04 866
11.250000 8.549492e-04 8.452379e-05 8.790421e-04 549
11.750000 8.224019e-04 7.785694e-05 8.210687e-04 45
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 1.389291e-04 4.328848e-05 1.187575e-04 1
13.750000 1.041108e-04 2.573575e-05 8.792847e-05 1
14.250000 1.789026e-04 4.604221e-05 1.839603e-04 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
