# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.276924e-04    1.348974e-04 1.831930e-04 8.682829e-11
1.596051 2.274265e-04    1.347177e-04 1.833018e-04 -2.556126e-11
2.660086 4.817663e-04    4.389345e-04 1.823641e-04 6.178576e-09
3.724120 8.957771e-04    8.406120e-04 2.189747e-04 4.783815e-08
4.788154 4.046485e-04    3.317437e-04 2.367737e-04 -2.375242e-09
5.852189 3.008526e-04    1.857480e-04 2.363250e-04 1.604690e-10
6.916223 2.998979e-04    1.862677e-04 2.350444e-04 -2.764912e-12
7.980257 3.036283e-04    1.868278e-04 2.398064e-04 -2.215712e-10
9.044291 3.010060e-04    1.870197e-04 2.359210e-04 -3.051479e-11
10.108326 4.094979e-04    3.285301e-04 2.351817e-04 4.446096e-09
11.172360 9.077494e-04    8.519020e-04 2.167941e-04 5.127223e-08
12.236394 4.777671e-04    4.369411e-04 1.827427e-04 3.948997e-09
13.300429 2.279598e-04    1.349110e-04 1.837060e-04 1.682350e-11
14.364463 2.276787e-04    1.352677e-04 1.830842e-04 2.041457e-11
