# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     3.799972e-06 6.271691e-06 1.378108e-05     2.536377e-06 0.000000e+00 9.586891e-06     1.263594e-06 6.271691e-06 4.194185e-06
1.596051     -3.474560e-06 3.379012e-06 -2.898885e-06     -1.908885e-06 0.000000e+00 2.777874e-06     -1.565675e-06 3.379012e-06 -5.676759e-06
2.660086     -4.147623e-04 -2.836362e-07 3.498086e-06     -4.071520e-04 0.000000e+00 5.264095e-06     -7.610389e-06 -2.836362e-07 -1.766009e-06
3.724120     -8.534500e-04 3.744443e-06 8.351065e-06     -8.244577e-04 0.000000e+00 5.337317e-06     -2.899238e-05 3.744443e-06 3.013748e-06
4.788154     -2.627960e-04 3.931321e-06 -1.294330e-06     -2.672256e-04 0.000000e+00 -2.733781e-06     4.429538e-06 3.931321e-06 1.439451e-06
5.852189     -1.639234e-05 -1.441277e-07 -1.222631e-05     -1.035978e-05 0.000000e+00 -1.682330e-06     -6.032568e-06 -1.441277e-07 -1.054398e-05
6.916223     -1.538168e-06 -1.345660e-06 1.978393e-06     -8.488969e-07 0.000000e+00 -7.272199e-07     -6.892707e-07 -1.345660e-06 2.705613e-06
7.980257     6.786335e-06 1.838863e-08 2.726535e-06     1.384387e-05 0.000000e+00 5.228574e-06     -7.057532e-06 1.838863e-08 -2.502039e-06
9.044291     -3.368785e-06 5.901694e-06 -5.707791e-06     2.910546e-06 0.000000e+00 -5.117926e-06     -6.279331e-06 5.901694e-06 -5.898648e-07
10.108326     2.698964e-04 -5.175904e-06 -4.809737e-06     2.614073e-04 0.000000e+00 -1.040462e-06     8.489151e-06 -5.175904e-06 -3.769275e-06
11.172360     8.664549e-04 -1.228589e-06 3.030023e-06     8.357841e-04 0.000000e+00 2.102460e-06     3.067080e-05 -1.228589e-06 9.275623e-07
12.236394     4.097644e-04 1.910291e-07 4.442852e-06     4.048988e-04 0.000000e+00 2.951074e-06     4.865650e-06 1.910291e-07 1.491778e-06
13.300429     -8.438174e-06 -1.401037e-06 -8.745478e-06     -6.511939e-06 0.000000e+00 4.493582e-07     -1.926235e-06 -1.401037e-06 -9.194836e-06
14.364463     -2.601018e-06 3.410925e-06 6.718859e-06     -6.343007e-08 0.000000e+00 4.472732e-06     -2.537588e-06 3.410925e-06 2.246128e-06
