# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.564510e-04    1.348974e-04 7.869376e-05 8.689592e-11
1.596051 1.560458e-04    1.347177e-04 7.891150e-05 -2.558519e-11
2.660086 4.526672e-04    4.389345e-04 7.783347e-05 6.186030e-09
3.724120 8.746651e-04    8.406120e-04 1.025287e-04 4.789824e-08
4.788154 3.456952e-04    3.317437e-04 1.087566e-04 -2.376688e-09
5.852189 2.159688e-04    1.857480e-04 1.094514e-04 1.606121e-10
6.916223 2.149671e-04    1.862677e-04 1.073219e-04 -2.768242e-12
7.980257 2.166337e-04    1.868278e-04 1.106675e-04 -2.217830e-10
9.044291 2.161917e-04    1.870197e-04 1.085957e-04 -3.054236e-11
10.108326 3.521337e-04    3.285301e-04 1.077698e-04 4.451765e-09
11.172360 8.873061e-04    8.519020e-04 1.011821e-04 5.133727e-08
12.236394 4.482568e-04    4.369411e-04 7.786908e-05 3.953107e-09
13.300429 1.564383e-04    1.349110e-04 7.908931e-05 1.685118e-11
14.364463 1.562138e-04    1.352677e-04 7.800627e-05 2.044322e-11
