# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.509499e-04    1.348974e-04 6.709449e-05 8.689592e-11
1.596051 1.505285e-04    1.347177e-04 6.734667e-05 -2.558519e-11
2.660086 4.508304e-04    4.389345e-04 6.632110e-05 6.186030e-09
3.724120 8.731644e-04    8.406120e-04 8.882167e-05 4.789824e-08
4.788154 3.409919e-04    3.317437e-04 9.272693e-05 -2.376688e-09
5.852189 2.083973e-04    1.857480e-04 9.362967e-05 1.606121e-10
6.916223 2.074292e-04    1.862677e-04 9.129075e-05 -2.768242e-12
7.980257 2.088697e-04    1.868278e-04 9.457113e-05 -2.217830e-10
9.044291 2.086480e-04    1.870197e-04 9.267234e-05 -3.054236e-11
10.108326 3.475953e-04    3.285301e-04 9.186243e-05 4.451765e-09
11.172360 8.858657e-04    8.519020e-04 8.765684e-05 5.133727e-08
12.236394 4.463972e-04    4.369411e-04 6.633130e-05 3.953107e-09
13.300429 1.509341e-04    1.349110e-04 6.755217e-05 1.685118e-11
14.364463 1.507277e-04    1.352677e-04 6.634053e-05 2.044322e-11
