# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 1.504173e-04 9.801505e-05 1.524303e-04 6
0.750000 2.199110e-04 1.359499e-04 1.575536e-04 5
1.250000 1.746322e-04 1.156138e-04 1.816995e-04 9
1.750000 2.284687e-04 1.059632e-04 2.088957e-04 7
2.250000 2.968141e-04 2.206697e-04 2.147695e-04 9
2.750000 5.067257e-04 4.722715e-04 2.608951e-04 8
3.250000 8.914152e-04 8.568553e-04 1.949014e-04 1901
3.750000 9.261990e-04 8.733729e-04 2.472689e-04 28145
4.250000 7.525992e-04 7.277774e-04 2.452204e-04 45080
4.750000 4.628133e-04 3.952243e-04 2.343745e-04 45459
5.250000 3.031826e-04 1.917433e-04 2.353536e-04 44975
5.750000 3.008362e-04 1.856784e-04 2.365364e-04 45401
6.250000 3.006436e-04 1.858251e-04 2.360288e-04 44834
6.750000 3.004060e-04 1.859396e-04 2.360555e-04 45189
7.250000 2.992204e-04 1.863028e-04 2.346636e-04 45236
7.750000 3.018854e-04 1.865322e-04 2.377317e-04 45065
8.250000 3.015879e-04 1.866205e-04 2.367590e-04 45108
8.750000 3.006065e-04 1.854995e-04 2.363912e-04 45064
9.250000 2.997900e-04 1.855929e-04 2.359346e-04 45107
9.750000 3.035992e-04 1.921971e-04 2.361013e-04 45110
10.250000 4.629182e-04 3.968659e-04 2.335196e-04 45057
10.750000 7.543980e-04 7.273526e-04 2.454675e-04 44934
11.250000 9.221014e-04 8.708867e-04 2.487960e-04 27486
11.750000 8.880599e-04 8.541691e-04 1.921027e-04 1966
12.250000 6.784760e-04 5.600516e-04 2.131122e-04 3
12.750000 3.541189e-04 2.840598e-04 2.068234e-04 5
13.250000 2.535996e-04 1.431992e-04 1.685126e-04 12
13.750000 1.814917e-04 1.225454e-04 8.562017e-05 3
14.250000 2.209602e-04 1.519390e-04 2.100523e-04 8
14.750000 2.682548e-04 1.219305e-04 2.425633e-04 8
