# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 1.117369e-04 9.801505e-05 6.348033e-05 6
0.750000 1.508671e-04 1.359499e-04 3.956393e-05 5
1.250000 1.092693e-04 1.156138e-04 6.219713e-05 9
1.750000 1.227084e-04 1.059632e-04 6.580421e-05 7
2.250000 2.196438e-04 2.206697e-04 6.222622e-05 9
2.750000 4.756239e-04 4.722715e-04 7.520605e-05 8
3.250000 8.651820e-04 8.568553e-04 7.342052e-05 1901
3.750000 8.954123e-04 8.733729e-04 8.670617e-05 28145
4.250000 7.175591e-04 7.277774e-04 9.274939e-05 45080
4.750000 4.097301e-04 3.952243e-04 9.210394e-05 45459
5.250000 2.122918e-04 1.917433e-04 9.156341e-05 44975
5.750000 2.074192e-04 1.856788e-04 9.157649e-05 45401
6.250000 2.076075e-04 1.858251e-04 9.214612e-05 44834
6.750000 2.074141e-04 1.859396e-04 9.187986e-05 45189
7.250000 2.076132e-04 1.863028e-04 9.155722e-05 45236
7.750000 2.078967e-04 1.865322e-04 9.230395e-05 45065
8.250000 2.081278e-04 1.866205e-04 9.228460e-05 45108
8.750000 2.070945e-04 1.854995e-04 9.239925e-05 45064
9.250000 2.066096e-04 1.855929e-04 9.196175e-05 45107
9.750000 2.128196e-04 1.921971e-04 9.163168e-05 45110
10.250000 4.105252e-04 3.968659e-04 9.195241e-05 45057
10.750000 7.179791e-04 7.273526e-04 9.263397e-05 44934
11.250000 8.929109e-04 8.708867e-04 8.696623e-05 27486
11.750000 8.620979e-04 8.541691e-04 7.317838e-05 1966
12.250000 5.538821e-04 5.600516e-04 6.612432e-05 3
12.750000 2.848443e-04 2.840598e-04 7.131521e-05 5
13.250000 1.603645e-04 1.431992e-04 6.415466e-05 12
13.750000 1.728645e-04 1.225454e-04 8.728386e-05 3
14.250000 1.657470e-04 1.519390e-04 8.288614e-05 8
14.750000 1.715142e-04 1.219305e-04 8.463167e-05 8
