# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.348974e-04    1.348974e-04 2.381987e-12 1.821884e-18
1.596051 1.347177e-04    1.347177e-04 2.398804e-12 2.404092e-19
2.660086 4.389345e-04    4.389345e-04 2.447392e-12 -6.166017e-17
3.724120 8.406120e-04    8.406120e-04 2.717425e-12 1.165473e-16
4.788154 3.317437e-04    3.317437e-04 2.876005e-12 2.010162e-17
5.852189 1.857480e-04    1.857480e-04 2.938083e-12 6.495812e-19
6.916223 1.862677e-04    1.862677e-04 2.948129e-12 4.948699e-20
7.980257 1.868278e-04    1.868278e-04 2.946266e-12 2.449245e-18
9.044291 1.870197e-04    1.870197e-04 2.916578e-12 -1.168147e-18
10.108326 3.285301e-04    3.285301e-04 2.900862e-12 -3.371688e-17
11.172360 8.519020e-04    8.519020e-04 2.702871e-12 5.308288e-17
12.236394 4.369411e-04    4.369411e-04 2.451963e-12 1.356506e-17
13.300429 1.349110e-04    1.349110e-04 2.394535e-12 9.663251e-19
14.364463 1.352677e-04    1.352677e-04 2.379010e-12 4.028785e-19
