# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     5.945010e-06 2.024419e-06 9.119762e-06     -1.148856e-06 0.000000e+00 3.702944e-06     7.093866e-06 2.024419e-06 5.416818e-06
1.596051     -1.000233e-06 -2.098032e-07 4.419491e-06     -2.585046e-06 0.000000e+00 1.282602e-06     1.584812e-06 -2.098032e-07 3.136888e-06
2.660086     -3.491128e-04 -8.824774e-07 3.024798e-06     -3.465050e-04 0.000000e+00 2.832719e-06     -2.607852e-06 -8.824774e-07 1.920790e-07
3.724120     -7.406289e-04 1.926610e-06 -6.592353e-07     -7.051372e-04 0.000000e+00 -6.802878e-06     -3.549166e-05 1.926610e-06 6.143642e-06
4.788154     -2.372631e-04 -1.620596e-06 -1.013371e-05     -2.350680e-04 0.000000e+00 -2.396689e-06     -2.195063e-06 -1.620596e-06 -7.737018e-06
5.852189     -1.538609e-06 -7.601629e-06 -7.959616e-06     -1.939969e-06 0.000000e+00 -6.072164e-06     4.013602e-07 -7.601629e-06 -1.887453e-06
6.916223     -1.547892e-05 -4.136880e-06 9.909507e-06     -1.380906e-05 0.000000e+00 7.415754e-06     -1.669859e-06 -4.136880e-06 2.493753e-06
7.980257     1.148397e-05 -7.492933e-06 -2.039587e-06     7.707247e-06 0.000000e+00 -1.002438e-06     3.776719e-06 -7.492933e-06 -1.037149e-06
9.044291     1.176854e-05 -2.365044e-06 1.475184e-05     7.284495e-06 0.000000e+00 5.747419e-06     4.484044e-06 -2.365044e-06 9.004418e-06
10.108326     2.350055e-04 -6.870719e-06 -4.188109e-06     2.342305e-04 0.000000e+00 -4.019458e-07     7.749199e-07 -6.870719e-06 -3.786163e-06
11.172360     7.316259e-04 -2.797790e-06 -1.151112e-05     7.064844e-04 0.000000e+00 -5.372786e-06     2.514146e-05 -2.797790e-06 -6.138331e-06
12.236394     3.518732e-04 -2.719470e-06 -4.664167e-06     3.437583e-04 0.000000e+00 -3.224149e-06     8.114850e-06 -2.719470e-06 -1.440018e-06
13.300429     4.457036e-06 -3.074611e-06 7.243275e-07     2.122593e-06 0.000000e+00 3.049457e-06     2.334443e-06 -3.074611e-06 -2.325130e-06
14.364463     -4.103319e-06 -3.826128e-06 -6.002458e-06     -1.583813e-06 0.000000e+00 1.150197e-06     -2.519506e-06 -3.826128e-06 -7.152654e-06
