# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     4.060583e-08 1.265721e-09 7.249595e-09     3.992100e-08 0.000000e+00 6.370864e-09     6.848354e-10 1.265721e-09 8.787313e-10
1.596051     2.469282e-07 1.951689e-11 1.471911e-08     2.469391e-07 0.000000e+00 1.470054e-08     -1.093569e-11 1.951689e-11 1.857131e-11
2.660086     -4.346939e-07 -9.038880e-09 -3.799015e-07     -4.469404e-07 0.000000e+00 -3.308950e-07     1.224647e-08 -9.038880e-09 -4.900648e-08
3.724120     -6.851940e-06 2.932229e-06 -2.744417e-07     -3.663062e-06 0.000000e+00 -4.134620e-07     -3.188878e-06 2.932229e-06 1.390203e-07
4.788154     4.737539e-06 1.881130e-07 -9.328182e-07     2.445423e-06 0.000000e+00 -2.207525e-06     2.292116e-06 1.881130e-07 1.274706e-06
5.852189     1.736218e-06 1.171582e-06 -5.799977e-07     1.020592e-06 0.000000e+00 -3.054406e-07     7.156256e-07 1.171582e-06 -2.745572e-07
6.916223     -3.170797e-07 -1.719638e-06 3.492981e-06     -7.753783e-07 0.000000e+00 3.813308e-06     4.582986e-07 -1.719638e-06 -3.203272e-07
7.980257     -2.394916e-08 -1.357774e-06 -6.201935e-06     1.855050e-07 0.000000e+00 -3.181023e-06     -2.094541e-07 -1.357774e-06 -3.020913e-06
9.044291     1.694537e-07 -2.316787e-06 -5.628790e-07     -6.433706e-07 0.000000e+00 9.242452e-07     8.128242e-07 -2.316787e-06 -1.487124e-06
10.108326     1.205777e-06 4.760792e-07 9.564354e-08     7.047189e-07 0.000000e+00 -1.075056e-06     5.010582e-07 4.760792e-07 1.170699e-06
11.172360     1.174103e-06 -2.064930e-06 -3.888782e-06     1.353201e-06 0.000000e+00 -2.346922e-06     -1.790981e-07 -2.064930e-06 -1.541860e-06
12.236394     -2.385424e-07 4.916725e-08 -1.645348e-07     -5.616941e-07 0.000000e+00 -2.031401e-07     3.231517e-07 4.916725e-08 3.860529e-08
13.300429     -1.708968e-07 5.725926e-10 -3.285984e-08     -1.717193e-07 0.000000e+00 -3.114382e-08     8.224262e-10 5.725926e-10 -1.716017e-09
14.364463     -1.038975e-08 1.595110e-10 2.273357e-08     -1.040686e-08 0.000000e+00 2.226558e-08     1.711173e-11 1.595110e-10 4.679936e-10
