# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 3.085656e-06    3.085154e-06 5.502124e-08 6.599774e-17
1.596051 5.605920e-06    5.605916e-06 6.968616e-09 -4.833112e-18
2.660086 7.973517e-05    7.965310e-05 3.613862e-06 2.152611e-14
3.724120 1.926143e-04    1.643420e-04 1.003429e-04 2.326648e-11
4.788154 2.540243e-04    2.176479e-04 1.309662e-04 5.583980e-12
5.852189 2.640177e-04    2.284950e-04 1.322640e-04 1.629145e-12
6.916223 2.641949e-04    2.286523e-04 1.323639e-04 -3.162374e-12
7.980257 2.639785e-04    2.288433e-04 1.315150e-04 1.915912e-11
9.044291 2.641328e-04    2.286565e-04 1.322351e-04 -3.799595e-12
10.108326 2.557257e-04    2.185317e-04 1.328208e-04 -1.812275e-12
11.172360 1.968556e-04    1.648760e-04 1.075235e-04 6.759968e-12
12.236394 8.098614e-05    8.089823e-05 3.822405e-06 -3.792654e-13
13.300429 2.628063e-06    2.627891e-06 3.279385e-08 -1.757859e-16
14.364463 2.800579e-06    2.800503e-06 2.024869e-08 2.050013e-17
