# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     4.060717e-08 1.267334e-09 7.250832e-09     3.992100e-08 0.000000e+00 6.370864e-09     6.861730e-10 1.267334e-09 8.799683e-10
1.596051     2.469282e-07 1.957198e-11 1.471919e-08     2.469391e-07 0.000000e+00 1.470054e-08     -1.089643e-11 1.957198e-11 1.865232e-11
2.660086     -4.346932e-07 -9.049247e-09 -3.799645e-07     -4.469404e-07 0.000000e+00 -3.308950e-07     1.224721e-08 -9.049247e-09 -4.906943e-08
3.724120     -6.854601e-06 2.934940e-06 -2.742396e-07     -3.663062e-06 0.000000e+00 -4.134620e-07     -3.191539e-06 2.934940e-06 1.392224e-07
4.788154     4.739532e-06 1.886143e-07 -9.309467e-07     2.445423e-06 0.000000e+00 -2.207525e-06     2.294109e-06 1.886143e-07 1.276578e-06
5.852189     1.736447e-06 1.172999e-06 -5.803777e-07     1.020592e-06 0.000000e+00 -3.054406e-07     7.158547e-07 1.172999e-06 -2.749372e-07
6.916223     -3.166983e-07 -1.721112e-06 3.491924e-06     -7.753783e-07 0.000000e+00 3.813308e-06     4.586801e-07 -1.721112e-06 -3.213841e-07
7.980257     -2.414327e-08 -1.359493e-06 -6.204720e-06     1.855050e-07 0.000000e+00 -3.181023e-06     -2.096482e-07 -1.359493e-06 -3.023697e-06
9.044291     1.706560e-07 -2.319141e-06 -5.646203e-07     -6.433706e-07 0.000000e+00 9.242452e-07     8.140266e-07 -2.319141e-06 -1.488865e-06
10.108326     1.205805e-06 4.759430e-07 9.629080e-08     7.047189e-07 0.000000e+00 -1.075056e-06     5.010864e-07 4.759430e-07 1.171346e-06
11.172360     1.173435e-06 -2.066714e-06 -3.890750e-06     1.353201e-06 0.000000e+00 -2.346922e-06     -1.797669e-07 -2.066714e-06 -1.543828e-06
12.236394     -2.380591e-07 4.921245e-08 -1.645028e-07     -5.616941e-07 0.000000e+00 -2.031401e-07     3.236350e-07 4.921245e-08 3.863733e-08
13.300429     -1.708959e-07 5.737475e-10 -3.286144e-08     -1.717193e-07 0.000000e+00 -3.114382e-08     8.233556e-10 5.737475e-10 -1.717614e-09
14.364463     -1.038962e-08 1.595101e-10 2.273399e-08     -1.040686e-08 0.000000e+00 2.226558e-08     1.723743e-11 1.595101e-10 4.684115e-10
