# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.546107e-05 4.465690e-05 1.036904e-04 53
3.750000 9.547376e-05 4.743795e-05 1.038827e-04 541
4.250000 1.084980e-04 5.114811e-05 1.196146e-04 893
4.750000 1.183699e-04 5.489952e-05 1.313421e-04 900
5.250000 1.270762e-04 5.461935e-05 1.380164e-04 922
5.750000 1.278667e-04 5.212833e-05 1.379824e-04 906
6.250000 1.270244e-04 5.257719e-05 1.373681e-04 899
6.750000 1.237629e-04 5.524499e-05 1.356995e-04 921
7.250000 1.285645e-04 5.533619e-05 1.391025e-04 907
7.750000 1.249085e-04 5.358917e-05 1.359840e-04 895
8.250000 1.257425e-04 5.250358e-05 1.352905e-04 913
8.750000 1.281017e-04 5.265751e-05 1.378772e-04 885
9.250000 1.265678e-04 5.443608e-05 1.375351e-04 917
9.750000 1.267178e-04 5.282781e-05 1.367765e-04 907
10.250000 1.205926e-04 5.297472e-05 1.322724e-04 900
10.750000 1.071090e-04 5.071690e-05 1.188667e-04 894
11.250000 9.723229e-05 4.625708e-05 1.086236e-04 516
11.750000 8.736270e-05 4.788319e-05 9.452993e-05 54
12.250000 6.170531e-05 3.992402e-05 6.589184e-05 1
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
