# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.476302e-05 4.425184e-05 9.588288e-05 45
3.750000 9.259632e-05 5.028273e-05 1.046901e-04 544
4.250000 1.058923e-04 5.472274e-05 1.195076e-04 899
4.750000 1.215464e-04 5.706390e-05 1.344560e-04 886
5.250000 1.303057e-04 5.653264e-05 1.419571e-04 913
5.750000 1.260925e-04 5.626898e-05 1.394806e-04 918
6.250000 1.270287e-04 5.502405e-05 1.380280e-04 911
6.750000 1.256005e-04 5.617956e-05 1.377013e-04 910
7.250000 1.261884e-04 5.693138e-05 1.390531e-04 892
7.750000 1.270168e-04 5.647858e-05 1.393536e-04 919
8.250000 1.275871e-04 5.634776e-05 1.385423e-04 902
8.750000 1.316447e-04 5.443082e-05 1.432541e-04 922
9.250000 1.253941e-04 5.663759e-05 1.358960e-04 880
9.750000 1.264990e-04 5.771475e-05 1.407506e-04 921
10.250000 1.182282e-04 5.597841e-05 1.299182e-04 902
10.750000 1.048415e-04 5.313537e-05 1.171977e-04 887
11.250000 9.343842e-05 4.837391e-05 1.051662e-04 533
11.750000 8.374572e-05 4.610792e-05 1.019226e-04 40
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
