# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 7.445790e-05 8.967428e-05 1.115777e-04 23
3.750000 9.308544e-05 8.981639e-05 1.299050e-04 543
4.250000 1.061391e-04 9.669179e-05 1.426408e-04 900
4.750000 1.200662e-04 9.623339e-05 1.545039e-04 906
5.250000 1.280040e-04 9.668760e-05 1.610943e-04 919
5.750000 1.275843e-04 9.753149e-05 1.589449e-04 925
6.250000 1.290527e-04 9.465631e-05 1.568196e-04 905
6.750000 1.286796e-04 9.468653e-05 1.570314e-04 913
7.250000 1.257715e-04 9.586847e-05 1.558483e-04 904
7.750000 1.271745e-04 9.632836e-05 1.585590e-04 901
8.250000 1.264431e-04 9.565742e-05 1.574466e-04 902
8.750000 1.267586e-04 9.636995e-05 1.602587e-04 916
9.250000 1.259441e-04 9.461963e-05 1.592477e-04 900
9.750000 1.268695e-04 9.760590e-05 1.641627e-04 907
10.250000 1.193236e-04 9.565654e-05 1.510695e-04 900
10.750000 1.080584e-04 9.648877e-05 1.460484e-04 900
11.250000 9.368197e-05 8.886240e-05 1.282574e-04 541
11.750000 7.073747e-05 8.201998e-05 1.069518e-04 19
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
