# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.199451e-05 9.603374e-06 8.289552e-05 34
3.750000 9.556739e-05 9.371598e-06 9.594185e-05 572
4.250000 1.112191e-04 8.576911e-06 1.119095e-04 892
4.750000 1.177502e-04 8.746959e-06 1.177933e-04 911
5.250000 1.272321e-04 9.130575e-06 1.276301e-04 916
5.750000 1.256578e-04 9.022714e-06 1.259653e-04 895
6.250000 1.241044e-04 8.372082e-06 1.241512e-04 897
6.750000 1.253372e-04 8.069813e-06 1.255359e-04 896
7.250000 1.276270e-04 8.423402e-06 1.280442e-04 911
7.750000 1.267870e-04 8.963479e-06 1.270435e-04 889
8.250000 1.289022e-04 8.519011e-06 1.289858e-04 916
8.750000 1.277291e-04 8.444072e-06 1.281246e-04 912
9.250000 1.247387e-04 8.093487e-06 1.250591e-04 911
9.750000 1.262931e-04 8.157409e-06 1.264267e-04 902
10.250000 1.189326e-04 8.632735e-06 1.190719e-04 914
10.750000 1.099422e-04 9.049954e-06 1.101947e-04 891
11.250000 9.632128e-05 9.601291e-06 9.679016e-05 544
11.750000 7.451306e-05 8.970047e-06 7.411457e-05 21
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
