# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.453968e-05 4.277275e-05 9.544799e-05 28
3.750000 9.468110e-05 4.438925e-05 1.044341e-04 549
4.250000 1.057949e-04 5.109074e-05 1.167832e-04 905
4.750000 1.188615e-04 5.190161e-05 1.284086e-04 927
5.250000 1.245491e-04 5.078768e-05 1.344499e-04 890
5.750000 1.274223e-04 4.826580e-05 1.359576e-04 915
6.250000 1.284104e-04 4.823920e-05 1.369561e-04 916
6.750000 1.290907e-04 4.966389e-05 1.377682e-04 911
7.250000 1.263721e-04 5.152446e-05 1.371958e-04 911
7.750000 1.257304e-04 4.996510e-05 1.368061e-04 902
8.250000 1.286148e-04 5.219887e-05 1.369420e-04 889
8.750000 1.266628e-04 5.036518e-05 1.349499e-04 914
9.250000 1.265917e-04 5.312896e-05 1.378846e-04 887
9.750000 1.282730e-04 4.987467e-05 1.364858e-04 906
10.250000 1.205298e-04 4.919017e-05 1.301907e-04 904
10.750000 1.090282e-04 4.704345e-05 1.192446e-04 896
11.250000 9.416924e-05 4.355447e-05 1.027644e-04 551
11.750000 8.696369e-05 3.794560e-05 9.424580e-05 23
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
