# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.203739e-05 3.423429e-05 9.027798e-05 43
3.750000 9.333236e-05 4.397979e-05 1.046671e-04 561
4.250000 1.087294e-04 4.922882e-05 1.185224e-04 884
4.750000 1.201779e-04 5.121963e-05 1.307761e-04 893
5.250000 1.260120e-04 5.030802e-05 1.370939e-04 908
5.750000 1.266374e-04 5.075422e-05 1.364293e-04 913
6.250000 1.267960e-04 5.186405e-05 1.379797e-04 897
6.750000 1.277247e-04 5.138981e-05 1.380615e-04 919
7.250000 1.252115e-04 5.213597e-05 1.362235e-04 905
7.750000 1.245878e-04 5.025432e-05 1.340502e-04 911
8.250000 1.294139e-04 5.138188e-05 1.376653e-04 894
8.750000 1.267816e-04 5.251416e-05 1.362230e-04 916
9.250000 1.276957e-04 5.217652e-05 1.378479e-04 931
9.750000 1.250672e-04 5.252685e-05 1.349803e-04 896
10.250000 1.213096e-04 4.968183e-05 1.312229e-04 901
10.750000 1.070004e-04 5.029845e-05 1.179214e-04 900
11.250000 9.414189e-05 4.384634e-05 1.044479e-04 536
11.750000 9.253876e-05 4.343510e-05 9.470328e-05 16
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
