# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.585339e-05 1.392892e-05 8.596825e-05 22
3.750000 9.420847e-05 1.608084e-05 9.550080e-05 593
4.250000 1.074011e-04 1.692880e-05 1.088388e-04 877
4.750000 1.224721e-04 1.664125e-05 1.235793e-04 904
5.250000 1.261642e-04 1.680401e-05 1.273157e-04 905
5.750000 1.250526e-04 1.670188e-05 1.262347e-04 902
6.250000 1.288251e-04 1.701838e-05 1.296797e-04 894
6.750000 1.261178e-04 1.671306e-05 1.275931e-04 907
7.250000 1.243029e-04 1.674250e-05 1.253845e-04 908
7.750000 1.276364e-04 1.683788e-05 1.287279e-04 917
8.250000 1.262380e-04 1.679924e-05 1.272862e-04 941
8.750000 1.258543e-04 1.666580e-05 1.268845e-04 892
9.250000 1.297456e-04 1.675676e-05 1.310490e-04 890
9.750000 1.257266e-04 1.678947e-05 1.265076e-04 907
10.250000 1.154551e-04 1.686912e-05 1.166174e-04 900
10.750000 1.066879e-04 1.688351e-05 1.084473e-04 905
11.250000 9.561647e-05 1.593069e-05 9.684063e-05 534
11.750000 9.090795e-05 1.279537e-05 9.132242e-05 26
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
