# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 2.631617e-10 1.575677e-05 1.575665e-05 1
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.530531e-05 7.578291e-06 8.637381e-05 29
3.750000 9.378919e-05 8.453081e-06 9.391322e-05 565
4.250000 1.087190e-04 8.378811e-06 1.091888e-04 898
4.750000 1.234112e-04 8.516426e-06 1.237144e-04 896
5.250000 1.250473e-04 8.657875e-06 1.252785e-04 909
5.750000 1.260758e-04 8.548692e-06 1.265598e-04 913
6.250000 1.291672e-04 8.588969e-06 1.295795e-04 912
6.750000 1.288188e-04 8.839500e-06 1.292112e-04 876
7.250000 1.274346e-04 8.762911e-06 1.279535e-04 922
7.750000 1.280001e-04 8.423017e-06 1.280933e-04 918
8.250000 1.279647e-04 8.107339e-06 1.281972e-04 894
8.750000 1.252389e-04 8.174178e-06 1.256298e-04 913
9.250000 1.263695e-04 8.077199e-06 1.267809e-04 919
9.750000 1.244787e-04 8.670860e-06 1.251091e-04 888
10.250000 1.223005e-04 8.579356e-06 1.226516e-04 930
10.750000 1.072090e-04 8.575591e-06 1.076256e-04 881
11.250000 9.200388e-05 8.476502e-06 9.238692e-05 522
11.750000 8.367622e-05 9.121219e-06 8.568515e-05 37
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 1.481849e-07 1.581715e-05 1.577194e-05 1
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
