# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
0.061556 1.441231e-09   1.496252e-17 4.007364e-37   1.146237e-14 -6.038418e-23   -1.147525e-14 9.346756e-26
0.184667 1.542892e-09   2.050441e-17 3.805612e-37   1.499921e-14 -6.882143e-22   -1.501734e-14 4.825067e-25
0.307779 -nan   1.611953e-17 8.712677e-37   1.144652e-14 -1.482308e-21   -1.147179e-14 6.737597e-25
0.430890 -nan   7.403240e-18 4.163739e-37   4.964955e-15 -4.499863e-22   -4.984122e-15 2.333174e-25
0.554001 -nan   2.155621e-18 6.388332e-37   1.260073e-15 -3.970467e-22   -1.265771e-15 2.890365e-25
0.677113 6.924117e-10   6.480277e-19 1.396227e-38   3.536032e-16 -9.529121e-22   -3.537718e-16 5.829805e-25
0.800224 8.600112e-10   2.954724e-19 2.678870e-38   2.000373e-16 -9.661470e-22   -1.995932e-16 8.474967e-25
0.923336 6.239584e-10   1.363956e-19 1.219262e-37   1.118765e-16 -1.416133e-21   -1.116235e-16 2.140886e-25
1.046447 2.528647e-10   5.299519e-20 3.577863e-37   5.306805e-17 -6.617445e-22   -5.305710e-17 4.414151e-25
1.169558 -nan   1.645800e-20 2.441348e-37   2.480981e-17 -1.005852e-21   -2.495420e-17 4.063464e-25
1.292670 -nan   4.659179e-21 2.549295e-37   1.445474e-17 0.000000e+00   -1.500347e-17 1.186164e-26
1.415781 -nan   2.115725e-21 1.243222e-37   1.142338e-17 -3.267049e-22   -1.248934e-17 3.709025e-25
1.538893 -nan   1.374838e-21 2.091324e-37   1.278827e-17 1.900226e-22   -1.385907e-17 7.120000e-25
1.662004 -nan   5.268385e-22 4.566231e-37   2.209468e-17 -1.856229e-21   -2.287452e-17 1.125674e-24
1.785115 -nan   7.462996e-21 2.567908e-37   5.221017e-17 -6.385155e-22   -5.379722e-17 5.197057e-25
1.908227 -nan   4.860283e-19 3.956468e-37   1.634739e-16 -4.464262e-22   -1.673237e-16 -3.180212e-25
2.031338 4.267684e-09   1.124578e-17 1.339464e-36   1.202717e-15 -1.872439e-21   -1.195750e-15 7.599711e-25
2.154450 1.379357e-08   1.011776e-16 4.253615e-37   1.423486e-14 -2.542428e-21   -1.414578e-14 8.323887e-25
2.277561 2.564743e-08   3.154459e-16 2.411514e-37   1.131669e-13 -5.448529e-22   -1.128246e-13 7.280825e-25
2.400672 4.592160e-08   3.488359e-16 3.256589e-37   5.470300e-13 -9.164534e-22   -5.452700e-13 8.959262e-25
2.523784 1.149632e-07   1.082425e-15 1.546920e-37   2.082027e-12 -3.631554e-22   -2.069893e-12 3.137559e-25
2.646895 2.029878e-07   2.316699e-15 2.450098e-37   8.168384e-12 6.660102e-22   -8.129496e-12 9.707827e-26
2.770007 4.173897e-07   1.089838e-14 1.275254e-37   2.749772e-11 -4.397485e-23   -2.733441e-11 7.912014e-25
2.893118 7.533790e-07   4.294397e-14 1.657384e-37   7.829078e-11 4.551861e-22   -7.776614e-11 1.571734e-24
3.016229 1.460384e-06   4.669240e-13 4.019962e-37   2.135120e-10 -1.337674e-21   -2.118462e-10 1.041765e-24
3.139341 2.254573e-06   7.282641e-13 9.922063e-38   4.975107e-10 -9.143942e-22   -4.931559e-10 1.296115e-24
3.262452 3.488294e-06   2.411025e-12 2.915824e-38   1.040503e-09 2.606195e-24   -1.030745e-09 3.369103e-25
3.385564 5.361733e-06   7.799697e-12 2.318122e-37   2.084653e-09 -2.725750e-21   -2.063704e-09 1.430937e-24
3.508675 6.620192e-06   5.886433e-12 2.533088e-37   3.722344e-09 -3.310771e-21   -3.684403e-09 1.256038e-24
3.631786 8.789926e-06   1.552096e-11 2.992627e-37   5.719341e-09 -5.600880e-22   -5.657599e-09 1.188141e-24
3.754898 1.032080e-05   2.004394e-11 2.750427e-37   7.875159e-09 -1.719250e-21   -7.788684e-09 1.807500e-24
3.878009 1.077219e-05   6.875139e-12 3.822771e-37   9.788091e-09 -9.134933e-22   -9.678927e-09 6.117185e-25
4.001121 1.175540e-05   1.830750e-11 7.299084e-37   1.094401e-08 1.098983e-21   -1.082413e-08 -4.358502e-26
4.124232 1.172923e-05   1.137464e-11 4.335761e-37   1.171404e-08 -1.376458e-22   -1.158784e-08 7.035119e-25
4.247343 1.169744e-05   6.386736e-12 4.983599e-37   1.221825e-08 6.591589e-22   -1.208780e-08 2.921538e-25
4.370455 1.222327e-05   1.901109e-11 6.063150e-37   1.233576e-08 -8.900236e-22   -1.220537e-08 3.460060e-25
4.493566 1.170554e-05   4.171614e-12 3.607178e-37   1.238664e-08 -8.056789e-22   -1.225379e-08 9.521124e-25
4.616678 1.188890e-05   4.885058e-12 1.052173e-36   1.245132e-08 1.022660e-22   -1.231486e-08 2.029194e-25
