# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     3.860992e-08 1.265721e-09 4.903023e-09     3.792509e-08 0.000000e+00 4.024291e-09     6.848354e-10 1.265721e-09 8.787313e-10
1.596051     2.260059e-07 1.951689e-11 9.484953e-09     2.260168e-07 0.000000e+00 9.466382e-09     -1.093569e-11 1.951689e-11 1.857131e-11
2.660086     -2.921204e-07 -9.038880e-09 -3.641720e-07     -3.043668e-07 0.000000e+00 -3.151655e-07     1.224647e-08 -9.038880e-09 -4.900648e-08
3.724120     -6.243775e-06 2.932229e-06 -8.414423e-08     -3.054897e-06 0.000000e+00 -2.231645e-07     -3.188878e-06 2.932229e-06 1.390203e-07
4.788154     4.195403e-06 1.881130e-07 -6.455393e-07     1.903287e-06 0.000000e+00 -1.920246e-06     2.292116e-06 1.881130e-07 1.274706e-06
5.852189     1.706921e-06 1.171582e-06 -6.775554e-07     9.912954e-07 0.000000e+00 -4.029983e-07     7.156256e-07 1.171582e-06 -2.745572e-07
6.916223     -2.159229e-07 -1.719638e-06 2.815881e-06     -6.742215e-07 0.000000e+00 3.136209e-06     4.582986e-07 -1.719638e-06 -3.203272e-07
7.980257     -9.157908e-08 -1.357774e-06 -5.723932e-06     1.178750e-07 0.000000e+00 -2.703020e-06     -2.094541e-07 -1.357774e-06 -3.020913e-06
9.044291     2.539615e-07 -2.316787e-06 -7.158357e-07     -5.588628e-07 0.000000e+00 7.712885e-07     8.128242e-07 -2.316787e-06 -1.487124e-06
10.108326     1.169203e-06 4.760792e-07 2.945453e-07     6.681443e-07 0.000000e+00 -8.761539e-07     5.010582e-07 4.760792e-07 1.170699e-06
11.172360     8.561389e-07 -2.064930e-06 -3.545322e-06     1.035237e-06 0.000000e+00 -2.003462e-06     -1.790981e-07 -2.064930e-06 -1.541860e-06
12.236394     -1.593654e-07 4.916725e-08 -1.456699e-07     -4.825171e-07 0.000000e+00 -1.842752e-07     3.231517e-07 4.916725e-08 3.860529e-08
13.300429     -1.611680e-07 5.725926e-10 -2.771706e-08     -1.619904e-07 0.000000e+00 -2.600105e-08     8.224262e-10 5.725926e-10 -1.716017e-09
14.364463     -1.267248e-08 1.595110e-10 1.719990e-08     -1.268959e-08 0.000000e+00 1.673191e-08     1.711173e-11 1.595110e-10 4.679936e-10
